atom_id,x_px,y_px,x_nm,y_nm,manual_atom_class,integrated_intensity,peak_height,local_background,local_normalized_intensity,overlay_to_peak_shift_px,nearest_neighbor_distance_px,local_pt_fraction,local_alternation_metric,smoothed_order_metric,spatial_region,lattice_i,lattice_j,parity_i_plus_j,lattice_fit_residual_px,expected_column_from_110,pt_probability_from_intensity,intensity_confidence,audited_column_label,display_label
0,497.06166115593135,409.2436867814429,5.660778750234663,4.660665158549289,LM-like,4757.0,157.0,9.0,0.9148076923076924,0.0711466983250789,21.10644639379874,0.7275299995959874,0.6666666666666666,0.3824737672043715,Pt-rich,,,,,,,,,Pt-rich region
1,677.4297384386339,856.7594322585977,7.71489770346108,9.757191043288152,LM-like,4763.0,154.0,0.0,0.9353888452474468,0.228415871293676,20.611226448631808,0.5349616912087278,0.6666666666666666,0.6235528934209058,ordered-intermetallic,2.0,5.0,1.0,0.6752012318928823,Pt+Ga mixed projected column,0.08451099212078425,0.9154890078792157,Pt+Ga mixed projected column,Pt+Ga mixed projected column
2,366.14882659878606,571.1779854667816,4.169880035031608,6.504851320081776,Pt-like,5374.0,160.0,9.0,1.0343566547974208,0.2711391045608876,18.737955569692147,0.4692183476438793,0.6666666666666666,0.6269342165977606,ordered-intermetallic,-20.0,10.0,0.0,1.2167779053982817,Pt-rich projected column,0.756643762302156,0.756643762302156,uncertain intensity,uncertain intensity
3,515.2144254883151,654.2179234009773,5.867511215482147,7.450550320454359,LM-like,4283.0,165.0,0.0,0.8245259408990279,0.3705429798666254,19.902230092507143,0.5279161519588442,0.6666666666666666,0.6282949302860149,ordered-intermetallic,-11.0,6.0,1.0,1.671715693361992,Pt+Ga mixed projected column,0.001792720748732567,0.9982072792512674,Pt+Ga mixed projected column,Pt+Ga mixed projected column
4,281.6190817686795,699.0706511042118,3.2072143927363443,7.961354890016366,LM-like,4782.0,160.0,0.0,0.8934977578475336,0.3822710528513952,19.15858603407141,0.5272433155185302,0.6666666666666666,0.6282169680834536,ordered-intermetallic,-20.0,17.0,1.0,0.514989252868249,Pt+Ga mixed projected column,0.020407621699130046,0.97959237830087,Pt+Ga mixed projected column,Pt+Ga mixed projected column
5,790.4860409138722,411.65503239228354,9.002437589646677,4.688126729336251,Pt-like,4436.0,200.0,0.0,0.8325044571643051,0.394669301783015,19.874270004517392,1.0,0.0,0.0332292700086347,Pt-rich,,,,,,,,,Pt-rich region
6,646.3561572430511,528.3669305080107,7.361016722746164,6.017298307801245,Pt-like,6008.0,215.0,0.0,1.1312370551685182,0.4095284217419354,15.10265354128333,0.4723976471649447,0.6666666666666666,0.6249814840687558,ordered-intermetallic,-9.0,-3.0,0.0,3.722902908725104,Pt-rich projected column,0.98982032607371,0.98982032607371,Pt-rich projected column,Pt-rich projected column
7,577.2962473483032,495.0706019480522,6.574529047321381,5.638103604402232,Pt-like,5422.0,172.0,0.0,1.019125041116489,0.4139429086901188,20.36191931681379,0.4788099452347285,0.6666666666666666,0.582229209002512,Pt-rich,,,,,,,,,Pt-rich region
8,384.841621934601,887.6583832179383,4.382762634694172,10.10908325036044,Pt-like,5225.0,153.0,0.0,1.0202089231670408,0.431364577144676,19.934877919987887,0.4662670984908078,0.6666666666666666,0.6197254359845683,ordered-intermetallic,-10.0,18.0,0.0,1.1794872273188592,Pt-rich projected column,0.6528542368261848,0.6528542368261848,uncertain intensity,uncertain intensity
9,729.5575918186406,470.018320463282,8.30855492502724,5.352796098802044,LM-like,5562.0,184.0,0.0,0.9528867568956656,0.4320079649930455,19.44185692640285,0.6962752102797573,0.8,0.4116248942766567,Pt-rich,,,,,,,,,Pt-rich region
10,420.86554526297,833.1763062008079,4.793020507335332,9.488614990688186,LM-like,4259.0,129.0,0.0,0.7985375457016968,0.4330560924093168,20.36119786102979,0.5301973171250647,0.6666666666666666,0.6258013447008767,ordered-intermetallic,-10.0,15.0,1.0,0.9753663307919914,Pt+Ga mixed projected column,0.0007126864010103472,0.9992873135989897,Pt+Ga mixed projected column,Pt+Ga mixed projected column
11,924.076836024328,721.4688261520081,10.523834215629844,8.216436147057484,Pt-like,6074.0,168.0,0.0,1.0049636002647253,0.4403687698522338,19.54196666080289,0.7119735347072583,0.5,0.3339932775014703,Pt-rich,,,,,,,,,Pt-rich region
12,303.6214033656557,835.2838937525029,3.457787479106246,9.512617217693885,LM-like,5043.0,165.0,0.0,0.9331112961421038,0.447435223043245,17.929202970668932,0.5310324084350033,0.6666666666666666,0.6259404756097564,ordered-intermetallic,-15.0,20.0,1.0,2.514870580398973,Pt+Ga mixed projected column,0.0784560222746625,0.9215439777253375,Pt+Ga mixed projected column,Pt+Ga mixed projected column
13,202.26342489266528,578.4113678613381,2.303473768062149,6.587228579386395,Pt-like,5505.0,187.0,9.0,1.0487711945132403,0.4616636973096356,19.097465541682432,0.4746399703482188,0.6666666666666666,0.6272905693192083,ordered-intermetallic,-27.0,17.0,0.0,1.2782555681973078,Pt-rich projected column,0.8384316234058186,0.8384316234058186,Pt-rich projected column,Pt-rich projected column
14,877.3495120870347,724.5628760816077,9.991680836943525,8.251672685021228,Pt-like,6260.0,199.0,0.0,1.0479618314221144,0.4717983727591345,20.10347260293578,0.4702962275228893,0.6666666666666666,0.5652695330602759,Pt-rich,,,,,,,,,Pt-rich region
15,601.3002373960554,459.60344266406014,6.847898102716167,5.234186430144394,Pt-like,5386.0,182.0,0.0,1.053857065988358,0.4832055937265674,16.613075701722245,0.624586383681127,0.5,0.5169081315225926,Pt-rich,,,,,,,,,Pt-rich region
16,149.46781943905276,967.0948386780548,1.7022118627231504,11.013744048412866,Pt-like,4991.0,157.0,0.0,1.2102327837051403,0.498548784478138,19.98182060205145,0.4711732062035057,0.6666666666666666,0.5900003974867067,liquid-metal,,,,,,,,,amorphous liquid-metal
17,103.84263145254585,898.3403386504532,1.1826101416230834,10.230734528358251,Pt-like,5070.0,142.0,0.0,1.0312213973355029,0.50166655191312,20.1743248520455,0.4701630375440484,0.6666666666666666,0.6255369858569326,liquid-metal,,,,,,,,,amorphous liquid-metal
18,203.6188186095487,473.8161871337288,2.3189096476528066,5.396048042422668,Pt-like,5273.0,183.0,0.0,1.0258754863813229,0.5058650262767367,19.20559039651571,0.5579517752427904,0.5,0.5619479102980824,Pt-rich,,,,,,,,,Pt-rich region
