layer,nodes,bright_extent_px,display_radius_px,center_x_px,center_y_px,radius_px,radius_nm,max_radial_dev_px,p95_radial_dev_px,hull_vertices
1,342,414.0,207.74812077490856,708.5448763325255,723.6907130521807,207.74812077490856,2.3659361390877076,202.46268419547138,161.43455885469248,24
2,445,474.0,238.36594492906767,712.8640774541224,724.4523406677334,238.36594492906767,2.714626738051271,227.46002714369155,185.85097434483535,25
3,556,531.0,265.7975212493939,709.4517206500626,725.6754929505719,265.7975212493939,3.027030804698507,254.25026915502428,203.11640883321866,29
4,690,594.0,297.30955166319904,713.0737531720465,724.7565597919846,297.30955166319904,3.385905057298038,286.2548290794614,228.35863015198072,30
5,690,594.0,297.03789425896036,712.8404652731277,724.3301732160113,297.03789425896036,3.3828112913099675,285.8779718359399,228.29681401328835,35
6,690,591.0,296.1921754017795,714.0819264620479,723.5629818534358,296.1921754017795,3.3731798356787506,285.15474987304106,227.18455242893484,36
7,838,654.0,327.5343205666564,713.1910516155673,723.8352787129139,327.5343205666564,3.730119352847521,317.5348574083481,254.51250578898475,37
8,838,654.0,328.2148634142827,714.6158483377609,722.3697405451402,328.2148634142827,3.737869704145001,320.197792103277,253.21687474043043,33
9,838,657.0,328.732281438169,713.591564614367,721.6457192408404,328.732281438169,3.743762311005471,320.27056688194943,254.44433009156438,32
10,690,591.0,295.9287490685798,713.6969849145729,719.8456434348512,295.9287490685798,3.3701798091110984,285.6374998028182,229.8466365420186,31
11,838,657.0,329.16440055378774,715.0409530449397,722.0152791793204,329.16440055378774,3.748683492618183,318.8520685080566,255.38172887053153,30
12,838,657.0,328.7637477967348,715.491620733379,721.96020855202,328.7637477967348,3.744120665124962,317.36123714629286,254.91634168007437,33
13,172,291.0,316.10880041675784,713.8327042437967,725.1135672956569,145.6170571785193,1.6583575185237993,136.27548785367196,113.30680871625651,17
14,110,231.0,298.5472003936046,717.8435811460084,725.9862717843272,116.06930609554375,1.3218534295567372,108.27107140547871,89.47377647605278,14
15,110,228.0,276.5952003646631,716.1760773424985,725.6485857450322,114.92720460453482,1.308846625057111,103.00272403321816,89.29953753219581,18
16,63,171.0,250.2528003299333,713.2884782260903,719.9319419844884,85.88044701022554,0.9780480923947791,76.14438719815948,63.14707080126167,13
