layer,radial_bin,radius_inner,radius_outer,candidate_locked_sites,matched_measured_sites,parity0_count,parity1_count,lattice_support_fraction,auc_local_order_s_parity0,alternating_row_order_score,order_cell_valid,low_sample_reason
1,0,0.0,0.2,13,8,3,5,0.6153846153846154,,,False,n<20 or parity group<5
1,1,0.2,0.4,39,16,8,8,0.4102564102564102,,,False,n<20 or parity group<5
1,2,0.4,0.6000000000000001,67,23,14,9,0.3432835820895522,0.373015873015873,0.2539682539682539,True,
1,3,0.6000000000000001,0.8,89,22,12,10,0.247191011235955,0.5416666666666666,0.0833333333333332,True,
1,4,0.8,1.0,121,32,12,20,0.2644628099173554,0.475,0.05,True,
2,0,0.0,0.2,17,11,4,7,0.6470588235294118,,,False,n<20 or parity group<5
2,1,0.2,0.4,54,29,16,13,0.5370370370370371,0.4423076923076923,0.1153846153846154,True,
2,2,0.4,0.6000000000000001,85,26,14,12,0.3058823529411765,0.25,0.5,True,
2,3,0.6000000000000001,0.8,123,36,17,19,0.2926829268292683,0.6578947368421053,0.3157894736842106,True,
2,4,0.8,1.0,152,41,21,20,0.2697368421052631,0.4214285714285714,0.1571428571428571,True,
3,0,0.0,0.2,22,15,8,7,0.6818181818181818,,,False,n<20 or parity group<5
3,1,0.2,0.4,66,42,24,18,0.6363636363636364,0.4722222222222222,0.0555555555555555,True,
3,2,0.4,0.6000000000000001,105,45,21,24,0.4285714285714285,0.4583333333333333,0.0833333333333333,True,
3,3,0.6000000000000001,0.8,150,62,36,26,0.4133333333333333,0.5,0.0,True,
3,4,0.8,1.0,196,78,42,36,0.3979591836734694,0.4950396825396825,0.0099206349206348,True,
4,0,0.0,0.2,27,23,12,11,0.8518518518518519,0.8787878787878788,0.7575757575757576,True,
4,1,0.2,0.4,81,62,31,31,0.7654320987654321,0.7263267429760666,0.4526534859521331,True,
4,2,0.4,0.6000000000000001,137,94,50,44,0.6861313868613139,0.5590909090909091,0.1181818181818181,True,
4,3,0.6000000000000001,0.8,184,121,67,54,0.657608695652174,0.5511332227750139,0.1022664455500277,True,
4,4,0.8,1.0,243,147,77,70,0.6049382716049383,0.6115027829313544,0.2230055658627088,True,
5,0,0.0,0.2,28,28,14,14,1.0,1.0,1.0,True,
5,1,0.2,0.4,81,70,36,34,0.8641975308641975,0.9084967320261438,0.8169934640522876,True,
