projected_row,row_class,n_columns,median_normalized_intensity,q25_normalized_intensity,q75_normalized_intensity,x_min_px,x_max_px,display_row,row_family
-9,1,12,0.9023719118818456,0.8631977806401399,0.9440194226753684,330.7390185553231,586.7845702629733,1,B
-8,0,13,1.1027566539923954,1.0494899886664149,1.1666987117861949,317.9462042370782,598.7589060431168,2,A
-7,1,12,0.9424457100560064,0.8490176225686024,1.0071104101851325,329.43624875956374,587.5088048757092,3,B
-6,0,13,1.0923423423423424,1.0093851752537828,1.1179850603332695,317.29382140237885,597.8000455447456,4,A
-5,1,13,0.9268018018018018,0.894106463878327,0.9794128860083874,329.1166770076317,609.743609522507,5,B
-4,0,13,1.0743423560808234,1.0397388059701491,1.0962049335863375,316.9822788570895,597.8666951470509,6,A
-3,1,13,0.9520958083832336,0.918903698141543,0.9634772684040328,328.3747713069095,609.5167921942932,7,B
-2,0,13,1.0696310312204351,1.0273998136067102,1.0961009391898302,316.40992421505626,597.2886551729645,8,A
-1,1,13,0.9423259343578068,0.927899096385542,0.9790090771558244,327.90279460477194,608.9223587997666,9,B
0,0,13,1.1538678447222483,1.1045969353764158,1.1878833632160046,316.3577504858571,597.0203741634754,10,A
1,1,13,0.9903827281648676,0.9515016036543882,1.0025478909125225,327.23356820429944,608.6914275096543,11,B
2,0,13,1.1124631992149163,1.0730754200859711,1.1533991865194655,316.0591231634233,596.9590932720284,12,A
3,1,13,0.9454367026496564,0.9309492105763744,0.9679499336241228,327.6164154006906,608.9756643978014,13,B
4,0,13,1.0304499612102405,1.0022384428223845,1.1396858244755903,315.87879608143425,596.4135029486202,14,A
5,1,13,0.9065553552793852,0.8269586374695864,0.9572006396387922,327.06740026976706,608.0995789512589,15,B
6,0,13,1.09494284053478,1.059036508096148,1.1360756310972544,315.0886056049505,596.355251022626,16,A
