projected_row,row_class,n_columns,median_normalized_intensity,q25_normalized_intensity,q75_normalized_intensity,x_min_px,x_max_px
-10,0,2,0.9746761676824718,0.893564174124327,1.0557881612406168,319.19755540327424,342.46836289944946
-9,1,12,0.9023719118818456,0.8631977806401399,0.9440194226753683,330.7390185553231,586.7845702629733
-8,0,13,1.1027566539923954,1.0494899886664149,1.1666987117861949,317.9462042370782,598.7589060431168
-7,1,12,0.9424457100560064,0.8490176225686024,1.0071104101851325,329.43624875956374,587.5088048757092
-6,0,13,1.0923423423423424,1.0093851752537828,1.1179850603332695,317.29382140237885,597.8000455447456
-5,1,13,0.9268018018018018,0.894106463878327,0.9794128860083874,329.1166770076317,609.743609522507
-4,0,13,1.0743423560808234,1.0397388059701493,1.0962049335863377,316.9822788570895,597.8666951470509
-3,1,13,0.9520958083832335,0.918903698141543,0.9634772684040327,328.3747713069095,609.5167921942932
-2,0,13,1.0696310312204351,1.0273998136067102,1.0961009391898302,316.40992421505626,597.2886551729645
-1,1,13,0.9423259343578069,0.9278990963855421,0.9790090771558245,327.90279460477194,608.9223587997666
0,0,13,1.1538678447222483,1.1045969353764158,1.1878833632160046,316.3577504858571,597.0203741634754
1,1,13,0.9903827281648675,0.9515016036543882,1.0025478909125225,327.23356820429944,608.6914275096543
2,0,13,1.1124631992149165,1.0730754200859711,1.1533991865194655,316.0591231634233,596.9590932720284
3,1,13,0.9454367026496565,0.9309492105763744,0.9679499336241228,327.6164154006906,608.9756643978014
4,0,13,1.0304499612102405,1.0022384428223845,1.1396858244755903,315.87879608143425,596.4135029486202
5,1,13,0.9065553552793852,0.8269586374695864,0.9572006396387922,327.06740026976706,608.0995789512589
6,0,13,1.09494284053478,1.0590365080961481,1.1360756310972544,315.0886056049505,596.355251022626
7,1,13,0.917783191230207,0.8617539585870889,0.9345885093167702,326.31199567932043,607.2958021684157
