Layer index,r_0.0_0.2,r_0.2_0.4,r_0.4_0.6,r_0.6_0.8,r_0.8_1.0
1,0.6153846153846154,0.4102564102564102,0.3432835820895522,0.247191011235955,0.2644628099173554
2,0.6470588235294118,0.5370370370370371,0.3058823529411765,0.2926829268292683,0.2697368421052631
3,0.6818181818181818,0.6363636363636364,0.4285714285714285,0.4133333333333333,0.3979591836734694
4,0.8518518518518519,0.7654320987654321,0.6861313868613139,0.657608695652174,0.6049382716049383
5,1.0,0.8641975308641975,0.8507462686567164,0.8702702702702703,0.819672131147541
6,1.0,0.9753086419753086,0.9558823529411764,1.0,0.97119341563786
7,1.0,0.9897959183673468,1.0,0.9956331877729258,0.9307958477508652
8,1.0,1.0,1.0,0.9741379310344828,0.8694158075601375
9,1.0,0.9583333333333334,0.8666666666666667,0.8185654008438819,0.6955017301038062
10,0.9629629629629628,0.7710843373493976,0.7230769230769231,0.7142857142857143,0.6831275720164609
11,0.5588235294117647,0.5263157894736842,0.4939024390243902,0.5147679324894515,0.5494880546075085
12,0.2352941176470588,0.3775510204081632,0.3664596273291925,0.3601694915254237,0.4570446735395189
13,0.2857142857142857,0.1111111111111111,0.3142857142857143,0.3181818181818182,0.2068965517241379
14,0.3333333333333333,0.3571428571428571,0.2,0.2857142857142857,0.1666666666666666
15,0.0,0.5333333333333333,0.2,0.2592592592592592,0.4285714285714285
16,0.0,0.4285714285714285,0.0,0.1428571428571428,0.2
