layer,center_support_fraction,outer_edge_support_fraction,delta_center_minus_outer,center_candidate_sites,outer_edge_candidate_sites,center_matched_sites,outer_edge_matched_sites
1,0.46153846153846156,0.2644628099173554,0.19707565162110618,52,121,24,32
2,0.5633802816901409,0.26973684210526316,0.2936434395848777,71,152,40,41
3,0.6477272727272727,0.3979591836734694,0.24976808905380332,88,196,57,78
4,0.7870370370370371,0.6049382716049383,0.1820987654320988,108,243,85,147
5,0.8990825688073395,0.819672131147541,0.0794104376597985,109,244,98,200
6,0.9814814814814815,0.9711934156378601,0.010288065843621408,108,243,106,236
7,0.9924812030075187,0.9307958477508651,0.06168535525665364,133,289,132,269
8,1.0,0.8694158075601375,0.13058419243986252,134,291,134,253
9,0.9694656488549618,0.6955017301038062,0.27396391875115556,131,289,127,201
10,0.8181818181818182,0.6831275720164609,0.13505424616535733,110,243,90,166
11,0.5348837209302325,0.5494880546075085,-0.014604333677275982,129,293,69,161
12,0.3409090909090909,0.4570446735395189,-0.116135582630428,132,291,45,133
13,0.16,0.20689655172413793,-0.046896551724137925,25,58,4,12
14,0.35294117647058826,0.16666666666666666,0.1862745098039216,17,36,6,6
15,0.4444444444444444,0.42857142857142855,0.015873015873015872,18,35,8,15
16,0.3,0.2,0.09999999999999998,10,20,3,4
