Host,Family,Partner,dH_kJmol
Pt,PGM,Ga,-33.76
Pt,PGM,In,-42.95
Pt,PGM,Sn,-31.55
Pt,PGM,Zn,-33.75
Pt,PGM,Bi,-31.37
Pt,PGM,Hg,-29.37
Ir,PGM,Ga,-29.51
Ir,PGM,In,-38.12
Ir,PGM,Sn,-27.44
Ir,PGM,Zn,-29.5
Ir,PGM,Bi,-27.23
Ir,PGM,Hg,-25.39
Pd,PGM,Ga,-25.63
Pd,PGM,In,-33.71
Pd,PGM,Sn,-23.72
Pd,PGM,Zn,-25.62
Pd,PGM,Bi,-23.56
Pd,PGM,Hg,-21.83
Rh,PGM,Ga,-23.73
Rh,PGM,In,-31.5
Rh,PGM,Sn,-21.87
Rh,PGM,Zn,-23.71
Rh,PGM,Bi,-21.69
Rh,PGM,Hg,-20.05
Ru,PGM,Ga,-23.69
Ru,PGM,In,-31.46
Ru,PGM,Sn,-21.83
Ru,PGM,Zn,-23.68
Ru,PGM,Bi,-21.63
Ru,PGM,Hg,-19.99
Os,PGM,Ga,-23.61
Os,PGM,In,-31.34
Os,PGM,Sn,-21.73
Os,PGM,Zn,-23.59
Os,PGM,Bi,-21.49
Os,PGM,Hg,-19.87
Ni,3d_TM,Ga,-16.96
Ni,3d_TM,In,-23.61
Ni,3d_TM,Sn,-15.39
Ni,3d_TM,Zn,-16.95
Ni,3d_TM,Bi,-15.21
Ni,3d_TM,Hg,-13.85
Co,3d_TM,Ga,-14.0
Co,3d_TM,In,-20.09
Co,3d_TM,Sn,-12.57
Co,3d_TM,Zn,-13.99
Co,3d_TM,Bi,-12.39
Co,3d_TM,Hg,-11.17
Fe,3d_TM,Ga,-9.61
Fe,3d_TM,In,-14.73
Fe,3d_TM,Sn,-8.41
Fe,3d_TM,Zn,-9.59
Fe,3d_TM,Bi,-8.23
Fe,3d_TM,Hg,-7.25
Cr,3d_TM,Ga,-4.17
Cr,3d_TM,In,-7.73
Cr,3d_TM,Sn,-3.38
Cr,3d_TM,Zn,-4.16
Cr,3d_TM,Bi,-3.21
Cr,3d_TM,Hg,-2.62
Re,Other_TM,Ga,-23.62
Re,Other_TM,In,-31.36
Re,Other_TM,Sn,-21.75
Re,Other_TM,Zn,-23.6
Re,Other_TM,Bi,-21.51
Re,Other_TM,Hg,-19.89
Au,Other_TM,Ga,-15.51
Au,Other_TM,In,-21.92
Au,Other_TM,Sn,-14.03
Au,Other_TM,Zn,-15.51
Au,Other_TM,Bi,-13.9
Au,Other_TM,Hg,-12.59
Zr,Other_TM,Ga,-6.91
Zr,Other_TM,In,-3.49
Zr,Other_TM,Sn,-7.92
Zr,Other_TM,Zn,-6.91
Zr,Other_TM,Bi,-7.84
Zr,Other_TM,Hg,-8.97
W,Other_TM,Ga,-6.77
W,Other_TM,In,-11.14
W,Other_TM,Sn,-5.75
W,Other_TM,Zn,-6.75
W,Other_TM,Bi,-5.55
W,Other_TM,Hg,-4.76
Hf,Other_TM,Ga,-4.26
Hf,Other_TM,In,-1.68
Hf,Other_TM,Sn,-5.05
Hf,Other_TM,Zn,-4.26
Hf,Other_TM,Bi,-4.96
Hf,Other_TM,Hg,-5.89
Mo,Other_TM,Ga,-4.16
Mo,Other_TM,In,-7.7
Mo,Other_TM,Sn,-3.36
Mo,Other_TM,Zn,-4.15
Mo,Other_TM,Bi,-3.17
Mo,Other_TM,Hg,-2.59
Ce,RE_Group3,Ga,-15.51
Ce,RE_Group3,In,-10.19
Ce,RE_Group3,Sn,-17.05
Ce,RE_Group3,Zn,-15.52
Ce,RE_Group3,Bi,-17.06
Ce,RE_Group3,Hg,-18.65
La,RE_Group3,Ga,-15.49
La,RE_Group3,In,-10.18
La,RE_Group3,Sn,-17.04
La,RE_Group3,Zn,-15.5
La,RE_Group3,Bi,-17.06
La,RE_Group3,Hg,-18.65
Y,RE_Group3,Ga,-11.38
Y,RE_Group3,In,-6.91
Y,RE_Group3,Sn,-12.71
Y,RE_Group3,Zn,-11.39
Y,RE_Group3,Bi,-12.72
Y,RE_Group3,Hg,-14.1
Sc,RE_Group3,Ga,-10.18
Sc,RE_Group3,In,-5.95
Sc,RE_Group3,Sn,-11.42
Sc,RE_Group3,Zn,-10.19
Sc,RE_Group3,Bi,-11.38
Sc,RE_Group3,Hg,-12.71
