Host,c_host,composition_role,dH_mix_kJmol,dG_mix_500K_kJmol,dH_rank_within_composition
Pt,0.250000,historical_screening_anchor,-24.440237,-29.839313,1
Ir,0.250000,historical_screening_anchor,-20.834867,-26.233943,2
Pd,0.250000,historical_screening_anchor,-18.824066,-24.223142,3
Rh,0.250000,historical_screening_anchor,-16.854155,-22.253231,4
Ru,0.250000,historical_screening_anchor,-16.361642,-21.760718,5
Re,0.250000,historical_screening_anchor,-15.263675,-20.662751,6
Os,0.250000,historical_screening_anchor,-15.073607,-20.472683,7
Ni,0.250000,historical_screening_anchor,-11.694824,-17.093900,8
Au,0.250000,historical_screening_anchor,-11.444831,-16.843907,9
Ce,0.250000,historical_screening_anchor,-10.225322,-15.624398,10
La,0.250000,historical_screening_anchor,-10.120418,-15.519494,11
Co,0.250000,historical_screening_anchor,-9.400049,-14.799125,12
Y,0.250000,historical_screening_anchor,-7.193540,-12.592616,13
Sc,0.250000,historical_screening_anchor,-6.544376,-11.943452,14
Fe,0.250000,historical_screening_anchor,-5.853476,-11.252552,15
Zr,0.250000,historical_screening_anchor,-4.139198,-9.538274,16
W,0.250000,historical_screening_anchor,-3.151493,-8.550569,17
Hf,0.250000,historical_screening_anchor,-2.203127,-7.602203,18
Cr,0.250000,historical_screening_anchor,-1.816082,-7.215158,19
Mo,0.250000,historical_screening_anchor,-1.560026,-6.959102,20
Pt,0.750000,A3B_host_fraction,-24.899237,-28.257347,1
Ir,0.750000,A3B_host_fraction,-21.293867,-24.651977,2
Pd,0.750000,A3B_host_fraction,-19.283066,-22.641176,3
Rh,0.750000,A3B_host_fraction,-17.313155,-20.671265,4
Ru,0.750000,A3B_host_fraction,-16.820642,-20.178752,5
Re,0.750000,A3B_host_fraction,-15.722675,-19.080785,6
Os,0.750000,A3B_host_fraction,-15.532607,-18.890717,7
Ni,0.750000,A3B_host_fraction,-12.153824,-15.511934,8
Au,0.750000,A3B_host_fraction,-11.903831,-15.261941,9
Ce,0.750000,A3B_host_fraction,-10.684322,-14.042432,10
La,0.750000,A3B_host_fraction,-10.579418,-13.937528,11
Co,0.750000,A3B_host_fraction,-9.859049,-13.217159,12
Y,0.750000,A3B_host_fraction,-7.652540,-11.010650,13
Sc,0.750000,A3B_host_fraction,-7.003376,-10.361486,14
Fe,0.750000,A3B_host_fraction,-6.312476,-9.670586,15
Zr,0.750000,A3B_host_fraction,-4.598198,-7.956308,16
W,0.750000,A3B_host_fraction,-3.610493,-6.968603,17
Hf,0.750000,A3B_host_fraction,-2.662127,-6.020237,18
Cr,0.750000,A3B_host_fraction,-2.275082,-5.633192,19
Mo,0.750000,A3B_host_fraction,-2.019026,-5.377136,20
