Host,Host_Index,Family,Point_ID,c_host,X_plot,dH_multi_kJmol,dG_multi_kJmol,ddG_cocktail_minus_binary_avg_kJmol_atom
Pt,0,PGM,0,0.04547,0.0971,-6.473,-11.0433,-4.5703
Pt,0,PGM,1,0.05462,-0.0623,-7.617,-12.3805,-4.7635
Pt,0,PGM,2,0.05146,0.0085,-7.2207,-11.897,-4.6763
Pt,0,PGM,3,0.04504,-0.1685,-6.4219,-11.0596,-4.6377
Pt,0,PGM,4,0.06381,0.096,-8.8002,-13.5492,-4.749
Pt,0,PGM,5,0.05777,-0.1398,-8.0743,-12.7114,-4.6371
Pt,0,PGM,6,0.06396,0.109,-8.823,-13.6506,-4.8276
Pt,0,PGM,7,0.06039,0.2408,-8.3453,-13.1599,-4.8146
Pt,0,PGM,8,0.05713,-0.025,-8.0151,-12.8172,-4.8021
Pt,0,PGM,9,0.04007,0.3214,-5.748,-10.3234,-4.5754
Pt,0,PGM,10,0.05318,-0.2437,-7.4569,-12.1825,-4.7256
Pt,0,PGM,11,0.05605,0.2586,-7.8572,-12.6166,-4.7594
Pt,0,PGM,12,0.04061,-0.0408,-5.8453,-10.5469,-4.7016
Pt,0,PGM,13,0.02825,0.2646,-4.2439,-8.7796,-4.5357
Pt,0,PGM,14,0.04915,-0.3347,-6.9663,-11.6341,-4.6678
Pt,0,PGM,15,0.04434,0.2275,-6.3326,-10.8673,-4.5347
Pt,0,PGM,16,0.05198,0.0975,-7.318,-12.1458,-4.8278
Pt,0,PGM,17,0.036,0.3382,-5.2673,-9.9331,-4.6658
Pt,0,PGM,18,0.04256,-0.2658,-6.1249,-10.8654,-4.7405
Pt,0,PGM,19,0.04588,0.291,-6.5361,-11.1818,-4.6457
Pt,0,PGM,20,0.04007,-0.225,-5.7802,-10.4082,-4.628
Pt,0,PGM,21,0.05834,0.2678,-8.1332,-12.9805,-4.8473
Pt,0,PGM,22,0.05555,-0.2057,-7.7925,-12.5912,-4.7987
Pt,0,PGM,23,0.05989,-0.2981,-8.2474,-13.0821,-4.8347
Pt,0,PGM,24,0.05582,0.1323,-7.7798,-12.3955,-4.6157
