Pt_X,Pt_Y,Ir_X,Ir_Y,Pd_X,Pd_Y,Rh_X,Rh_Y,Ru_X,Ru_Y,Os_X,Os_Y,Ni_X,Ni_Y,Co_X,Co_Y,Fe_X,Fe_Y,Cr_X,Cr_Y,Re_X,Re_Y,Au_X,Au_Y,Zr_X,Zr_Y,W_X,W_Y,Hf_X,Hf_Y,Mo_X,Mo_Y,Ce_X,Ce_Y,La_X,La_Y,Y_X,Y_Y,Sc_X,Sc_Y
0.0971,-11.0433,0.7618,-11.5899,1.9256,-9.8883,2.9216,-10.8086,4.2199,-10.0477,5.062,-8.9654,6.2699,-9.5184,7.1278,-8.6228,8.2858,-7.2131,9.0083,-5.7998,10.205,-8.9414,11.0678,-8.023,11.7256,-6.5831,13.1914,-6.6607,13.896,-6.0932,15.2634,-6.0454,15.7573,-8.211,16.8247,-7.4915,18.3141,-7.1083,19.142,-6.4848
-0.0623,-12.3805,1.2195,-12.3329,1.8062,-10.4139,3.2591,-10.0236,4.2151,-9.0817,5.308,-11.2316,5.7074,-8.7735,6.8294,-9.0573,8.1039,-7.1808,8.7881,-5.6796,10.2886,-9.6275,11.0023,-8.4046,11.8463,-6.2245,12.9705,-6.7543,14.279,-5.6063,15.3045,-6.2038,16.0592,-8.1224,17.2677,-8.5021,18.2542,-7.5953,18.9473,-6.6482
0.0085,-11.897,0.7485,-10.8091,2.2077,-10.518,2.6603,-9.3019,3.6704,-10.1687,5.0266,-10.226,5.7652,-7.772,6.9423,-7.7136,8.2011,-7.2789,8.9513,-6.1224,9.7015,-9.6287,11.2293,-8.1375,11.6752,-6.2457,13.1743,-5.8349,14.0491,-5.9466,14.9047,-5.8279,15.6567,-8.1063,17.2941,-8.9728,18.0934,-7.0543,18.9046,-7.0422
-0.1685,-11.0596,1.0931,-11.0906,2.1294,-10.3124,2.8738,-8.0361,4.2438,-10.1803,4.7285,-9.3381,5.8525,-8.0905,7.0931,-8.1609,7.7558,-7.3943,8.9488,-5.9243,10.2799,-9.7158,10.6508,-7.209,11.8258,-6.396,12.919,-6.1619,13.7777,-5.4283,14.9306,-5.7058,15.7954,-8.1595,17.1666,-7.9444,18.2396,-7.5651,19.136,-6.5278
0.096,-13.5492,0.9203,-9.8178,1.9981,-10.3775,3.0975,-9.9514,3.6597,-10.2975,5.2754,-10.4558,6.2583,-8.1768,7.0826,-8.0061,7.7309,-7.5374,8.8772,-6.1096,10.2689,-9.1659,10.6689,-7.6811,12.0299,-5.973,12.6619,-6.2044,13.7609,-5.5079,15.1286,-5.5391,15.9953,-7.6936,16.8711,-7.6494,18.0944,-7.5353,18.7212,-6.6023
-0.1398,-12.7114,1.1789,-12.0356,1.7095,-8.1367,3.1474,-10.9042,3.8217,-10.0971,4.9564,-9.443,6.1725,-9.168,6.6516,-7.6076,8.0515,-6.7419,8.9634,-6.1298,9.9269,-10.5707,11.1896,-8.501,11.9598,-6.2588,12.901,-6.3426,13.9263,-5.6393,14.6936,-6.2089,15.781,-7.8919,16.8575,-6.5099,17.8284,-7.3691,18.6566,-7.0305
0.109,-13.6506,0.7976,-10.8114,1.907,-11.6506,3.2184,-8.5517,3.9693,-10.0354,4.9794,-9.7065,6.0629,-7.9488,6.7205,-7.9766,7.7406,-6.969,9.0174,-6.0775,9.7594,-9.453,10.9888,-7.367,12.3008,-6.6061,12.889,-6.4162,14.1903,-5.6897,15.1029,-5.9355,16.2278,-8.3046,17.2222,-7.0791,17.8028,-6.9144,19.1638,-7.0889
0.2408,-13.1599,0.8962,-10.104,2.0565,-10.9606,3.0297,-9.3835,3.6893,-10.8869,4.717,-9.4495,6.0521,-9.3489,7.2214,-7.5178,8.2326,-6.4386,9.0586,-5.6482,9.9513,-8.8886,11.2319,-9.4875,12.3345,-6.4936,13.2876,-6.4761,14.0995,-5.9833,14.7837,-5.6343,16.2606,-8.618,16.9747,-8.0198,18.1873,-6.9888,19.2502,-6.4222
-0.025,-12.8172,1.318,-10.5085,1.6504,-13.4871,2.8941,-9.8574,3.8482,-10.5453,5.0832,-10.1677,6.0725,-8.7873,7.0812,-8.2658,7.8622,-6.1779,8.9147,-5.7898,9.7962,-10.0266,11.0835,-7.0825,12.226,-6.233,12.857,-5.9752,13.8923,-5.509,15.0177,-5.842,15.9789,-8.1474,16.6628,-7.9723,17.7083,-6.5641,19.2909,-6.9647
0.3214,-10.3234,1.0705,-10.8095,1.6678,-10.2786,3.0268,-9.3772,3.8244,-10.5959,5.0715,-9.4266,6.1914,-8.1835,6.755,-7.7273,7.7242,-7.2659,8.7142,-6.0999,10.1253,-10.0244,10.9461,-7.26,11.6644,-6.1479,12.9179,-6.3857,14.2811,-5.7299,15.2117,-5.8566,15.8008,-6.6338,16.7297,-7.5707,17.9024,-7.1518,18.9353,-7.0604
-0.2437,-12.1825,0.8403,-11.7865,2.1573,-9.9793,2.8801,-10.5546,4.0513,-11.3962,4.8857,-10.7022,5.7216,-8.3268,6.8129,-6.7246,7.6996,-6.9349,9.1955,-5.8111,10.1352,-8.8562,10.6688,-7.7262,12.0156,-5.9673,12.7071,-7.0162,13.7584,-5.6897,14.681,-6.0187,15.6571,-7.0444,17.2997,-8.161,17.9015,-6.4833,18.7063,-6.4963
