Pt_X,Pt_Y,Ir_X,Ir_Y,Pd_X,Pd_Y,Rh_X,Rh_Y,Ru_X,Ru_Y,Os_X,Os_Y,Ni_X,Ni_Y,Co_X,Co_Y,Fe_X,Fe_Y,Cr_X,Cr_Y,Re_X,Re_Y,Au_X,Au_Y,Zr_X,Zr_Y,W_X,W_Y,Hf_X,Hf_Y,Mo_X,Mo_Y,Ce_X,Ce_Y,La_X,La_Y,Y_X,Y_Y,Sc_X,Sc_Y
0.0971,-6.473,0.7618,-6.8485,1.9256,-5.0587,2.9216,-6.0193,4.2199,-5.1766,5.062,-4.3982,6.2699,-4.6377,7.1278,-3.74,8.2858,-2.4796,9.0083,-1.1676,10.205,-4.3846,11.0678,-3.4334,11.7256,-1.8043,13.1914,-1.8864,13.896,-1.2111,15.2634,-1.3128,15.7573,-3.3678,16.8247,-2.7668,18.3141,-2.3431,19.142,-1.7936
-0.0623,-7.617,1.2195,-7.677,1.8062,-5.8951,3.2591,-5.3102,4.2151,-4.4313,5.308,-6.3889,5.7074,-4.0465,6.8294,-4.1188,8.1039,-2.4012,8.7881,-1.2111,10.2886,-5.0659,11.0023,-3.6871,11.8463,-1.5354,12.9705,-2.0435,14.279,-0.8879,15.3045,-1.4027,16.0592,-3.3751,17.2677,-3.7798,18.2542,-2.8607,18.9473,-2.0201
0.0085,-7.2207,0.7485,-6.1658,2.2077,-5.7087,2.6603,-4.7072,3.6704,-5.4183,5.0266,-5.4744,5.7652,-3.2285,6.9423,-2.933,8.2011,-2.586,8.9513,-1.3518,9.7015,-4.9774,11.2293,-3.417,11.6752,-1.5067,13.1743,-1.2752,14.0491,-1.1769,14.9047,-1.2664,15.6567,-3.4027,17.2941,-4.1134,18.0934,-2.3361,18.9046,-2.3855
-0.1685,-6.4219,1.0931,-6.3695,2.1294,-5.5352,2.8738,-3.332,4.2438,-5.5301,4.7285,-4.6883,5.8525,-3.3956,7.0931,-3.4121,7.7558,-2.7069,8.9488,-1.1789,10.2799,-5.1243,10.6508,-2.6345,11.8258,-1.7286,12.919,-1.4891,13.7777,-0.9197,14.9306,-1.1014,15.7954,-3.4328,17.1666,-3.2892,18.2396,-2.7096,19.136,-1.9544
0.096,-8.8002,0.9203,-5.2053,1.9981,-5.7352,3.0975,-5.3185,3.6597,-5.5353,5.2754,-5.6778,6.2583,-3.397,7.0826,-3.2589,7.7309,-2.8488,8.8772,-1.3553,10.2689,-4.5166,10.6689,-3.086,12.0299,-1.3049,12.6619,-1.4996,13.7609,-0.9696,15.1286,-1.0596,15.9953,-3.0516,16.8711,-2.8767,18.0944,-2.6826,18.7212,-1.9669
-0.1398,-8.0743,1.1789,-7.4967,1.7095,-3.5092,3.1474,-6.117,3.8217,-5.4072,4.9564,-4.753,6.1725,-4.4416,6.6516,-2.9665,8.0515,-1.9896,8.9634,-1.3172,9.9269,-5.8091,11.1896,-3.703,11.9598,-1.5262,12.901,-1.734,13.9263,-1.0116,14.6936,-1.37,15.781,-3.0711,16.8575,-2.0063,17.8284,-2.7035,18.6566,-2.4878
0.109,-8.823,0.7976,-6.0185,1.907,-6.86,3.2184,-3.9051,3.9693,-5.4304,4.9794,-5.0048,6.0629,-3.4787,6.7205,-3.3216,7.7406,-2.3476,9.0174,-1.3367,9.7594,-4.7573,10.9888,-2.7644,12.3008,-1.6818,12.889,-1.6865,14.1903,-1.0638,15.1029,-1.2929,16.2278,-3.5045,17.2222,-2.4175,17.8028,-2.2963,19.1638,-2.3444
0.2408,-8.3453,0.8962,-5.4408,2.0565,-6.1644,3.0297,-4.6675,3.6893,-6.1277,4.717,-4.7871,6.0521,-4.597,7.2214,-3.0305,8.2326,-1.9327,9.0586,-1.0216,9.9513,-4.2946,11.2319,-4.5084,12.3345,-1.798,13.2876,-1.7015,14.0995,-1.1847,14.7837,-1.1436,16.2606,-3.7366,16.9747,-3.373,18.1873,-2.2467,19.2502,-1.8509
-0.025,-8.0151,1.318,-5.8946,1.6504,-8.5714,2.8941,-5.0426,3.8482,-5.8187,5.0832,-5.3694,6.0725,-3.9755,7.0812,-3.4606,7.8622,-1.6026,8.9147,-1.1097,9.7962,-5.2476,11.0835,-2.4864,12.226,-1.6915,12.857,-1.423,13.8923,-0.93,15.0177,-1.2131,15.9789,-3.4027,16.6628,-3.2507,17.7083,-2.0111,19.2909,-2.2346
0.3214,-5.748,1.0705,-6.1889,1.6678,-5.5577,3.0268,-4.7515,3.8244,-5.7747,5.0715,-4.8215,6.1914,-3.4102,6.755,-3.1908,7.7242,-2.5417,8.7142,-1.421,10.1253,-5.3446,10.9461,-2.6478,11.6644,-1.532,12.9179,-1.785,14.2811,-1.0155,15.2117,-1.2142,15.8008,-2.3242,16.7297,-2.9228,17.9024,-2.4296,18.9353,-2.4015
-0.2437,-7.4569,0.8403,-7.1349,2.1573,-5.3022,2.8801,-5.7763,4.0513,-6.6318,4.8857,-5.8104,5.7216,-3.6928,6.8129,-2.3032,7.6996,-2.307,9.1955,-1.182,10.1352,-4.1825,10.6688,-2.9873,12.0156,-1.3226,12.7071,-2.1494,13.7584,-1.0337,14.681,-1.3805,15.6571,-2.5558,17.2997,-3.4055,17.9015,-1.82,18.7063,-1.9123
0.2586,-7.8572,0.6605,-6.8189,1.9707,-5.6417,3.1196,-5.593,3.8776,-5.512,4.9982,-4.2906,5.9604,-3.678,6.8114,-3.3436,8.1126,-2.1092,9.1907,-1.1276,9.9135,-5.4699,11.2291,-3.3337,12.0905,-1.7427,13.1175,-1.5829,14.2817,-1.2681,14.7448,-1.1672,16.0982,-3.275,17.2103,-2.6412,17.8253,-2.3399,19.239,-1.7522
-0.0408,-5.8453,0.7794,-6.9036,2.1703,-5.763,2.9318,-4.7891,4.1318,-4.1637,5.073,-5.0723,5.8495,-3.5442,6.6967,-3.8615,7.7828,-2.1613,8.7037,-1.2596,9.8181,-2.7355,10.9483,-4.0562,11.8446,-1.431,12.8795,-1.5052,14.0402,-0.9887,14.7482,-1.3445,15.8168,-2.6045,17.1984,-3.2868,17.9854,-2.5304,18.8049,-1.8441
0.2646,-4.2439,0.6629,-5.6285,1.7064,-5.6856,3.0356,-4.7644,3.9197,-5.1922,4.9305,-4.3791,6.0508,-3.753,7.0148,-3.1288,7.9365,-2.777,8.9791,-1.2782,10.1217,-5.528,10.9255,-2.8141,11.6978,-1.3534,13.1975,-1.8955,13.7697,-1.0275,14.8851,-1.2854,16.1339,-2.896,16.7602,-3.4551,17.6709,-2.1757,19.0751,-1.8619
-0.3347,-6.9663,1.0186,-7.6825,2.2202,-5.5464,3.3329,-4.3742,3.8691,-5.2041,4.9974,-4.0096,5.7927,-3.4453,7.1708,-3.3295,8.1669,-2.1751,8.7461,-1.3573,9.8397,-4.0322,11.3242,-3.6794,11.6515,-1.2882,12.9523,-1.6524,14.2559,-1.0473,15.0203,-1.1828,15.9551,-3.2388,17.1995,-2.9524,17.7611,-2.2795,18.7735,-2.3215
