Type,Config_ID,Selection_Seed,Selection_Mode,Is_Historical_Anchor,Assignment_B0_to_B7,Assignment_SHA256,Canonical_Class,Class_Degeneracy
Ordered_L12_BSublattice,0,0,all_symmetry_classes,True,Zn|In|Sn|Zn|In|Sn|Ga|Ga,f5e709839ff726a1753abf545c455a602b7c8f9ae6f4a350bdd69fcbba1de0c0,Ga|Ga|In|Sn|Sn|Zn|Zn|In,48
Ordered_L12_BSublattice,1,20260727,all_symmetry_classes,False,Ga|Ga|In|In|Sn|Sn|Zn|Zn,7481d1855f3bcc395c16d4e7602ecc6a545ac77820b7b958b45601f6b5c45124,Ga|Ga|In|In|Sn|Sn|Zn|Zn,24
Ordered_L12_BSublattice,2,20260727,all_symmetry_classes,False,Ga|Ga|In|In|Sn|Zn|Sn|Zn,aebffb73ec2a89e3d98c98e1832feb68d1b2d232547ce3fbae3840e37229ed85,Ga|Ga|In|In|Sn|Zn|Sn|Zn,48
Ordered_L12_BSublattice,3,20260727,all_symmetry_classes,False,Ga|Ga|In|In|Sn|Zn|Zn|Sn,8f0f18ea34f38f46e0a15884e77234f0d19c2ac4a81f06c0190b3d7a067b8345,Ga|Ga|In|In|Sn|Zn|Zn|Sn,48
Ordered_L12_BSublattice,4,20260727,all_symmetry_classes,False,Ga|Ga|In|In|Zn|Zn|Sn|Sn,7d47c95f0f8b508d728729529e4d5dee7bde70a58074ceaf5994b89af03a6ae6,Ga|Ga|In|In|Zn|Zn|Sn|Sn,24
Ordered_L12_BSublattice,5,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|In|Sn|Zn|Zn,eb8f33b8cafc002fc9aa198aa715f35d5fdf1a67d5b8f5f6b75c58555d5aa503,Ga|Ga|In|Sn|In|Sn|Zn|Zn,24
Ordered_L12_BSublattice,6,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|In|Zn|Sn|Zn,b9909d1879df5b89b65d86cf83666ba0d53f4419f0955c4b48f6cf4dbeec3649,Ga|Ga|In|Sn|In|Zn|Sn|Zn,48
Ordered_L12_BSublattice,7,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|In|Zn|Zn|Sn,2a0192b4c20d5487bf1c0de68fd188d43a738d47a99b62d63cac63953305ae01,Ga|Ga|In|Sn|In|Zn|Zn|Sn,48
Ordered_L12_BSublattice,8,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|Sn|In|Zn|Zn,bacf4a6dca9d5199fb0e4b4e16f3b896da1f9e30de299ea42f45cfbd4e965aaa,Ga|Ga|In|Sn|Sn|In|Zn|Zn,24
Ordered_L12_BSublattice,9,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|Sn|Zn|In|Zn,bedf85e4e42d9d3d69a4183b93914ff68b7d52b760647f5bbaa7d4395396956d,Ga|Ga|In|Sn|Sn|Zn|In|Zn,48
Ordered_L12_BSublattice,10,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|Zn|In|Sn|Zn,797821f9a7c7365f617591dc1e691e0f22d669a0574eeb1d7b43b001d4949739,Ga|Ga|In|Sn|Zn|In|Sn|Zn,48
Ordered_L12_BSublattice,11,20260727,all_symmetry_classes,False,Ga|Ga|In|Sn|Zn|In|Zn|Sn,cd01aa821313e191915293d41d816407329355b36a34240b79484873d74101c8,Ga|Ga|In|Sn|Zn|In|Zn|Sn,48
