Type,Config_ID,Selection_Seed,Selection_Mode,Is_Historical_Anchor,Assignment_B0_to_B7,Assignment_SHA256,Canonical_Class,Class_Degeneracy,Energy_eV_atom
Ordered_L12_BSublattice,0,0,seeded_symmetry_class_sample,True,Zn|In|Sn|Zn|In|Sn|Ga|Ga,f5e709839ff726a1753abf545c455a602b7c8f9ae6f4a350bdd69fcbba1de0c0,Ga|Ga|In|Sn|Sn|Zn|Zn|In,48,-4.945260996
Ordered_L12_BSublattice,1,20260727,seeded_symmetry_class_sample,False,Ga|In|Sn|Ga|Zn|In|Sn|Zn,90aa5761e62bee703e639a0670ed0d4070150e813075ff3502f676e7e5e6388f,Ga|In|Sn|Ga|Zn|In|Sn|Zn,24,-4.944714362
Ordered_L12_BSublattice,2,20260727,seeded_symmetry_class_sample,False,Ga|Ga|In|Zn|In|Zn|Sn|Sn,d6fcd390d152268e340a0f48649f1cc1ad51d3a503e99a6b270dee7fe8cd23b5,Ga|Ga|In|Zn|In|Zn|Sn|Sn,24,-4.943653578
Ordered_L12_BSublattice,3,20260727,seeded_symmetry_class_sample,False,Ga|Ga|In|In|Zn|Zn|Sn|Sn,7d47c95f0f8b508d728729529e4d5dee7bde70a58074ceaf5994b89af03a6ae6,Ga|Ga|In|In|Zn|Zn|Sn|Sn,24,-4.942901054
Ordered_L12_BSublattice,4,20260727,seeded_symmetry_class_sample,False,Ga|In|Sn|Sn|Zn|In|Ga|Zn,7d23845cbfb82ce2ad719600ffe1a518cb7ab5062dc88198a3e77c7cb0ea59de,Ga|In|Sn|Sn|Zn|In|Ga|Zn,48,-4.943273598
Ordered_L12_BSublattice,5,20260727,seeded_symmetry_class_sample,False,Ga|In|In|Zn|Zn|Sn|Sn|Ga,8798426df4787af9db40786a702fe6bc52d0427aec91f48a372ccdd3b5534767,Ga|In|In|Zn|Zn|Sn|Sn|Ga,24,-4.945295641
Ordered_L12_BSublattice,6,20260727,seeded_symmetry_class_sample,False,Ga|Ga|In|Zn|Sn|Sn|In|Zn,964a2354585dc2fc6075bd1b6d4a691eef644aeedc172bedee70c80e3811efe3,Ga|Ga|In|Zn|Sn|Sn|In|Zn,48,-4.942600304
Ordered_L12_BSublattice,7,20260727,seeded_symmetry_class_sample,False,Ga|In|Sn|Ga|Sn|Zn|In|Zn,a3e16cf8e618268256764a8c897b3c79d959856d28f75555e8e7f2980d18e9f3,Ga|In|Sn|Ga|Sn|Zn|In|Zn,48,-4.943015212
Ordered_L12_BSublattice,8,20260727,seeded_symmetry_class_sample,False,Ga|In|In|Zn|Sn|Ga|Sn|Zn,e8c9a79f3ffa4e34986c3c85e34f6f0be0d1d459e1206c2e0299033ac4ce2bf9,Ga|In|In|Zn|Sn|Ga|Sn|Zn,48,-4.942677760
Ordered_L12_BSublattice,9,20260727,seeded_symmetry_class_sample,False,Ga|Ga|In|Sn|In|Sn|Zn|Zn,eb8f33b8cafc002fc9aa198aa715f35d5fdf1a67d5b8f5f6b75c58555d5aa503,Ga|Ga|In|Sn|In|Sn|Zn|Zn,24,-4.944332907
