State,Config_ID,Seed,Assignment,Class_Degeneracy,Energy_eV_atom,ElementRef_Hf_kJ_mol_atom
Ordered_B_sublattice,0,0,Zn|In|Sn|Zn|In|Sn|Ga|Ga,48.000000000,-4.945260996,-30.007883888
Ordered_B_sublattice,1,20260727,Ga|In|Sn|Ga|Zn|In|Sn|Zn,24.000000000,-4.944714362,-29.955141907
Ordered_B_sublattice,2,20260727,Ga|Ga|In|Zn|In|Zn|Sn|Sn,24.000000000,-4.943653578,-29.852792163
Ordered_B_sublattice,3,20260727,Ga|Ga|In|In|Zn|Zn|Sn|Sn,24.000000000,-4.942901054,-29.780184885
Ordered_B_sublattice,4,20260727,Ga|In|Sn|Sn|Zn|In|Ga|Zn,48.000000000,-4.943273598,-29.816129792
Ordered_B_sublattice,5,20260727,Ga|In|In|Zn|Zn|Sn|Sn|Ga,24.000000000,-4.945295641,-30.011226611
Ordered_B_sublattice,6,20260727,Ga|Ga|In|Zn|Sn|Sn|In|Zn,48.000000000,-4.942600304,-29.751167021
Ordered_B_sublattice,7,20260727,Ga|In|Sn|Ga|Sn|Zn|In|Zn,48.000000000,-4.943015212,-29.791199419
Ordered_B_sublattice,8,20260727,Ga|In|In|Zn|Sn|Ga|Sn|Zn,48.000000000,-4.942677760,-29.758640363
Ordered_B_sublattice,9,20260727,Ga|Ga|In|Sn|In|Sn|Zn|Zn,24.000000000,-4.944332907,-29.918337221
Ordered_B_sublattice,10,20260727,Ga|Ga|In|Zn|Zn|Sn|In|Sn,48.000000000,-4.944508770,-29.935305363
Ordered_B_sublattice,11,20260727,Ga|In|In|Zn|Sn|Ga|Zn|Sn,48.000000000,-4.944871435,-29.970297095
Ordered_B_sublattice,12,20260727,Ga|Ga|In|In|Sn|Sn|Zn|Zn,24.000000000,-4.944020116,-29.888157582
Ordered_B_sublattice,13,20260727,Ga|In|Sn|Sn|Zn|Ga|In|Zn,48.000000000,-4.942900860,-29.780166166
Ordered_B_sublattice,14,20260727,Ga|In|Sn|Zn|Zn|In|Ga|Sn,48.000000000,-4.945214877,-30.003434097
