Type,Config_ID,Seed,ZeroK_ElementRef_Hf_kJ_mol
Ordered_L12_Equimolar,0,0,-30.007884
Disordered_Random_Equimolar,1,100,-14.477659
Disordered_Random_Equimolar,2,101,-15.439614
Disordered_Random_Equimolar,3,102,-13.638143
Disordered_Random_Equimolar,4,103,-9.373216
Disordered_Random_Equimolar,5,104,-15.369180
Disordered_Random_Equimolar,6,105,-15.255617
Disordered_Random_Equimolar,7,106,-14.982758
Disordered_Random_Equimolar,8,107,-8.127691
Disordered_Random_Equimolar,9,108,-14.657024
Disordered_Random_Equimolar,10,109,-17.825302
Disordered_Random_Equimolar,11,110,-15.903900
Disordered_Random_Equimolar,12,111,-14.594888
Disordered_Random_Equimolar,13,112,-14.760649
Disordered_Random_Equimolar,14,113,-13.162954
Disordered_Random_Equimolar,15,114,-14.956417
Disordered_Random_Equimolar,16,115,-14.380788
Disordered_Random_Equimolar,17,116,-15.092558
Disordered_Random_Equimolar,18,117,-12.994105
Disordered_Random_Equimolar,19,118,-14.693882
Disordered_Random_Equimolar,20,119,-11.609546
Disordered_Random_Equimolar,21,120,-19.950384
Disordered_Random_Equimolar,22,121,-13.771871
Disordered_Random_Equimolar,23,122,-13.477399
Disordered_Random_Equimolar,24,123,-14.280250
Disordered_Random_Equimolar,25,124,-12.458614
Disordered_Random_Equimolar,26,125,-14.102236
Disordered_Random_Equimolar,27,126,-14.730835
Disordered_Random_Equimolar,28,127,-11.315652
Disordered_Random_Equimolar,29,128,-11.627395
Disordered_Random_Equimolar,30,129,-11.918684
