Ordered_X,Ordered_Y,Disordered_X,Disordered_Y,Ordered_Mean_X,Ordered_Mean_Y,Disordered_Mean_X,Disordered_Mean_Y
1.000000,-30.007884,2.025918,-14.477659,0.800000,-30.007884,1.800000,-13.964307
,,2.055089,-15.439614,1.200000,-30.007884,2.200000,-13.964307
,,2.065782,-13.638143,,,,
,,2.119422,-9.373216,,,,
,,1.885138,-15.369180,,,,
,,2.068564,-15.255617,,,,
,,1.912989,-14.982758,,,,
,,2.119856,-8.127691,,,,
,,1.944921,-14.657024,,,,
,,2.006134,-17.825302,,,,
,,2.065454,-15.903900,,,,
,,2.059818,-14.594888,,,,
,,1.964282,-14.760649,,,,
,,1.852221,-13.162954,,,,
,,1.869792,-14.956417,,,,
,,2.006161,-14.380788,,,,
,,2.145188,-15.092558,,,,
,,2.040584,-12.994105,,,,
,,1.923322,-14.693882,,,,
,,1.880672,-11.609546,,,,
,,2.074804,-19.950384,,,,
,,2.034542,-13.771871,,,,
,,1.916661,-13.477399,,,,
,,2.055618,-14.280250,,,,
,,1.991229,-12.458614,,,,
,,1.911138,-14.102236,,,,
,,2.135362,-14.730835,,,,
,,2.137918,-11.315652,,,,
,,1.943360,-11.627395,,,,
,,2.139910,-11.918684,,,,
