Type,Config_ID,Seed,Energy_eV_atom
Ordered_L12,0,N/A,-4.945261
Disordered_Random,1,100,-4.784301
Disordered_Random,2,101,-4.794271
Disordered_Random,3,102,-4.775600
Disordered_Random,4,103,-4.731398
Disordered_Random,5,104,-4.793541
Disordered_Random,6,105,-4.792364
Disordered_Random,7,106,-4.789536
Disordered_Random,8,107,-4.718488
Disordered_Random,9,108,-4.786160
Disordered_Random,10,109,-4.818997
Disordered_Random,11,110,-4.799083
Disordered_Random,12,111,-4.785516
Disordered_Random,13,112,-4.787234
Disordered_Random,14,113,-4.770675
Disordered_Random,15,114,-4.789263
Disordered_Random,16,115,-4.783297
Disordered_Random,17,116,-4.790674
Disordered_Random,18,117,-4.768925
Disordered_Random,19,118,-4.786542
Disordered_Random,20,119,-4.754575
Disordered_Random,21,120,-4.841022
Disordered_Random,22,121,-4.776986
Disordered_Random,23,122,-4.773934
Disordered_Random,24,123,-4.782255
Disordered_Random,25,124,-4.763375
Disordered_Random,26,125,-4.780410
Disordered_Random,27,126,-4.786925
Disordered_Random,28,127,-4.751529
Disordered_Random,29,128,-4.754759
Disordered_Random,30,129,-4.757779
