T_K,dG_HEA_mean_kJmol_atom,dG_HEA_plus1sigma,dG_HEA_minus1sigma,dG_HEI_sublattice_upper_bound_entropy,dG_HEI_frozen_zero_entropy,Gap_HEA_minus_HEI_sublattice,Gap_HEA_minus_HEI_frozen
0.0,-13.964307033333334,-11.74032282259026,-16.18829124407641,-30.007884,-30.007884,16.043576966666667,16.043576966666667
10.0,-14.03987791032823,-11.815893699585155,-16.263862121071305,-30.03669973160769,-30.007884,15.996821821279461,15.968006089671771
20.0,-14.115448787323126,-11.891464576580052,-16.3394329980662,-30.065515463215377,-30.007884,15.95006667589225,15.892435212676874
30.0,-14.191019664318022,-11.967035453574947,-16.415003875061096,-30.094331194823067,-30.007884,15.903311530505045,15.816864335681979
40.0,-14.266590541312917,-12.042606330569843,-16.490574752055995,-30.123146926430756,-30.007884,15.85655638511784,15.741293458687084
50.0,-14.342161418307814,-12.11817720756474,-16.56614562905089,-30.151962658038446,-30.007884,15.809801239730632,15.665722581692187
60.0,-14.41773229530271,-12.193748084559635,-16.641716506045785,-30.180778389646132,-30.007884,15.763046094343423,15.590151704697291
70.0,-14.493303172297605,-12.26931896155453,-16.71728738304068,-30.209594121253822,-30.007884,15.716290948956217,15.514580827702396
80.0,-14.568874049292502,-12.344889838549427,-16.792858260035576,-30.238409852861512,-30.007884,15.66953580356901,15.439009950707499
90.0,-14.644444926287397,-12.420460715544323,-16.86842913703047,-30.267225584469198,-30.007884,15.622780658181801,15.363439073712604
100.0,-14.720015803282292,-12.496031592539218,-16.94400001402537,-30.296041316076888,-30.007884,15.576025512794596,15.287868196717708
110.0,-14.79558668027719,-12.571602469534115,-17.019570891020265,-30.324857047684578,-30.007884,15.529270367407388,15.212297319722811
120.0,-14.871157557272085,-12.64717334652901,-17.09514176801516,-30.353672779292268,-30.007884,15.482515222020183,15.136726442727916
130.0,-14.94672843426698,-12.722744223523906,-17.170712645010056,-30.382488510899954,-30.007884,15.435760076632974,15.06115556573302
140.0,-15.022299311261877,-12.798315100518803,-17.24628352200495,-30.411304242507644,-30.007884,15.389004931245767,14.985584688738124
150.0,-15.097870188256772,-12.873885977513698,-17.321854398999847,-30.440119974115333,-30.007884,15.342249785858561,14.910013811743228
160.0,-15.173441065251668,-12.949456854508593,-17.397425275994745,-30.468935705723023,-30.007884,15.295494640471356,14.834442934748333
170.0,-15.249011942246565,-13.025027731503489,-17.47299615298964,-30.49775143733071,-30.007884,15.248739495084145,14.758872057753436
180.0,-15.32458281924146,-13.100598608498386,-17.548567029984536,-30.5265671689384,-30.007884,15.20198434969694,14.68330118075854
190.0,-15.400153696236355,-13.176169485493281,-17.62413790697943,-30.55538290054609,-30.007884,15.155229204309734,14.607730303763645
200.0,-15.47572457323125,-13.251740362488178,-17.699708783974327,-30.584198632153775,-30.007884,15.108474058922525,14.53215942676875
210.0,-15.551295450226148,-13.327311239483073,-17.775279660969222,-30.613014363761465,-30.007884,15.061718913535318,14.456588549773853
220.0,-15.626866327221043,-13.402882116477969,-17.85085053796412,-30.641830095369155,-30.007884,15.014963768148112,14.381017672778958
230.0,-15.70243720421594,-13.478452993472864,-17.926421414959016,-30.670645826976845,-30.007884,14.968208622760905,14.30544679578406
240.0,-15.778008081210835,-13.554023870467761,-18.00199229195391,-30.69946155858453,-30.007884,14.921453477373696,14.229875918789165
250.0,-15.85357895820573,-13.629594747462656,-18.077563168948807,-30.72827729019222,-30.007884,14.87469833198649,14.15430504179427
260.0,-15.929149835200626,-13.705165624457553,-18.153134045943702,-30.75709302179991,-30.007884,14.827943186599285,14.078734164799375
270.0,-16.00472071219552,-13.780736501452449,-18.228704922938597,-30.785908753407597,-30.007884,14.781188041212076,14.00316328780448
280.0,-16.08029158919042,-13.856307378447344,-18.304275799933496,-30.814724485015287,-30.007884,14.734432895824867,13.92759241080958
