T_K,G_disordered_mean_kJ_mol_atom,G_disordered_minus1SD,G_disordered_plus1SD,G_ordered_Bmix_mean_kJ_mol_atom,G_ordered_Bmix_minus1SD,G_ordered_Bmix_plus1SD,G_ordered_frozen_mean_kJ_mol_atom,Gap_disordered_minus_ordered_Bmix,Gap_disordered_minus_ordered_frozen
0.0,-13.964307015708304,-16.22630750415481,-11.702306527261799,-29.869287067848134,-29.96470689284454,-29.77386724285173,-29.869287067848134,15.90498005213983,15.90498005213983
10.0,-14.039877892704592,-16.3018783811511,-11.777877404258087,-29.898102799456353,-29.99352262445276,-29.802682974459948,-29.869287067848134,15.858224906751762,15.829409175143542
20.0,-14.115448769700881,-16.377449258147387,-11.853448281254376,-29.926918531064572,-30.022338356060978,-29.831498706068167,-29.869287067848134,15.811469761363691,15.753838298147253
30.0,-14.19101964669717,-16.453020135143674,-11.929019158250664,-29.955734262672795,-30.0511540876692,-29.86031443767639,-29.869287067848134,15.764714615975626,15.678267421150965
40.0,-14.26659052369346,-16.528591012139962,-12.004590035246954,-29.984549994281014,-30.07996981927742,-29.88913016928461,-29.869287067848134,15.717959470587555,15.602696544154675
50.0,-14.342161400689747,-16.60416188913625,-12.080160912243242,-30.013365725889233,-30.10878555088564,-29.91794590089283,-29.869287067848134,15.671204325199486,15.527125667158387
60.0,-14.417732277686035,-16.67973276613254,-12.15573178923953,-30.042181457497453,-30.137601282493858,-29.946761632501048,-29.869287067848134,15.624449179811418,15.451554790162099
70.0,-14.493303154682325,-16.75530364312883,-12.23130266623582,-30.07099718910567,-30.166417014102077,-29.975577364109267,-29.869287067848134,15.577694034423347,15.37598391316581
80.0,-14.568874031678613,-16.830874520125118,-12.306873543232108,-30.099812920713894,-30.1952327457103,-30.00439309571749,-29.869287067848134,15.530938889035282,15.300413036169521
90.0,-14.644444908674902,-16.90644539712141,-12.382444420228397,-30.128628652322114,-30.22404847731852,-30.03320882732571,-29.869287067848134,15.484183743647211,15.224842159173232
100.0,-14.72001578567119,-16.982016274117697,-12.458015297224685,-30.157444383930333,-30.252864208926738,-30.062024558933928,-29.869287067848134,15.437428598259142,15.149271282176944
110.0,-14.79558666266748,-17.057587151113985,-12.533586174220975,-30.186260115538552,-30.281679940534957,-30.090840290542147,-29.869287067848134,15.390673452871072,15.073700405180654
120.0,-14.871157539663768,-17.133158028110273,-12.609157051217263,-30.21507584714677,-30.310495672143176,-30.119656022150366,-29.869287067848134,15.343918307483003,14.998129528184366
130.0,-14.946728416660056,-17.20872890510656,-12.684727928213551,-30.243891578754994,-30.3393114037514,-30.14847175375859,-29.869287067848134,15.297163162094938,14.922558651188078
140.0,-15.022299293656346,-17.28429978210285,-12.76029880520984,-30.272707310363213,-30.368127135359618,-30.177287485366808,-29.869287067848134,15.250408016706867,14.846987774191788
150.0,-15.097870170652634,-17.359870659099137,-12.835869682206129,-30.301523041971432,-30.396942866967837,-30.206103216975027,-29.869287067848134,15.203652871318798,14.7714168971955
160.0,-15.173441047648923,-17.43544153609543,-12.911440559202418,-30.33033877357965,-30.425758598576056,-30.234918948583246,-29.869287067848134,15.156897725930728,14.69584602019921
170.0,-15.249011924645211,-17.511012413091716,-12.987011436198706,-30.359154505187874,-30.45457433018428,-30.26373468019147,-29.869287067848134,15.110142580542663,14.620275143202923
180.0,-15.3245828016415,-17.586583290088004,-13.062582313194994,-30.387970236796093,-30.483390061792498,-30.292550411799688,-29.869287067848134,15.063387435154594,14.544704266206635
190.0,-15.400153678637789,-17.662154167084296,-13.138153190191284,-30.416785968404312,-30.512205793400717,-30.321366143407907,-29.869287067848134,15.016632289766523,14.469133389210345
200.0,-15.475724555634077,-17.737725044080584,-13.213724067187572,-30.44560170001253,-30.541021525008937,-30.350181875016126,-29.869287067848134,14.969877144378454,14.393562512214057
210.0,-15.551295432630367,-17.81329592107687,-13.289294944183862,-30.47441743162075,-30.569837256617156,-30.378997606624345,-29.869287067848134,14.923121998990384,14.317991635217767
220.0,-15.626866309626655,-17.88886679807316,-13.36486582118015,-30.503233163228973,-30.59865298822538,-30.407813338232568,-29.869287067848134,14.876366853602319,14.24242075822148
230.0,-15.702437186622944,-17.964437675069448,-13.44043669817644,-30.532048894837192,-30.627468719833598,-30.436629069840787,-29.869287067848134,14.829611708214248,14.16684988122519
240.0,-15.778008063619232,-18.040008552065736,-13.516007575172727,-30.56086462644541,-30.656284451441817,-30.465444801449006,-29.869287067848134,14.78285656282618,14.091279004228902
250.0,-15.85357894061552,-18.115579429062024,-13.591578452169015,-30.58968035805363,-30.685100183050036,-30.494260533057226,-29.869287067848134,14.73610141743811,14.015708127232614
260.0,-15.92914981761181,-18.191150306058315,-13.667149329165305,-30.61849608966185,-30.713915914658255,-30.523076264665445,-29.869287067848134,14.68934627205004,13.940137250236324
270.0,-16.0047206946081,-18.266721183054607,-13.742720206161595,-30.647311821270073,-30.742731646266478,-30.551891996273667,-29.869287067848134,14.642591126661973,13.864566373240034
280.0,-16.080291571604388,-18.342292060050895,-13.818291083157883,-30.67612755287829,-30.771547377874697,-30.580707727881887,-29.869287067848134,14.595835981273904,13.788995496243746
290.0,-16.155862448600676,-18.417862937047182,-13.89386196015417,-30.70494328448651,-30.800363109482916,-30.609523459490106,-29.869287067848134,14.549080835885835,13.713424619247458
300.0,-16.231433325596964,-18.49343381404347,-13.969432837150459,-30.73375901609473,-30.829178841091135,-30.638339191098325,-29.869287067848134,14.502325690497766,13.63785374225117
310.0,-16.30700420259325,-18.56900469103976,-14.045003714146747,-30.76257474770295,-30.857994572699354,-30.667154922706544,-29.869287067848134,14.455570545109698,13.562282865254883
320.0,-16.382575079589543,-18.644575568036046,-14.120574591143038,-30.791390479311172,-30.886810304307577,-30.695970654314767,-29.869287067848134,14.408815399721629,13.486711988258591
330.0,-16.45814595658583,-18.720146445032334,-14.196145468139326,-30.82020621091939,-30.915626035915796,-30.724786385922986,-29.869287067848134,14.36206025433356,13.411141111262303
340.0,-16.53371683358212,-18.795717322028622,-14.271716345135614,-30.84902194252761,-30.944441767524015,-30.753602117531205,-29.869287067848134,14.315305108945491,13.335570234266015
350.0,-16.609287710578407,-18.87128819902491,-14.347287222131902,-30.87783767413583,-30.973257499132234,-30.782417849139424,-29.869287067848134,14.268549963557422,13.259999357269727
360.0,-16.684858587574695,-18.946859076021198,-14.42285809912819,-30.906653405744052,-31.002073230740457,-30.811233580747647,-29.869287067848134,14.221794818169357,13.18442848027344
370.0,-16.760429464570986,-19.022429953017493,-14.498428976124481,-30.93546913735227,-31.030888962348676,-30.840049312355866,-29.869287067848134,14.175039672781285,13.108857603277148
380.0,-16.836000341567274,-19.09800083001378,-14.57399985312077,-30.96428486896049,-31.059704693956895,-30.868865043964085,-29.869287067848134,14.128284527393216,13.03328672628086
390.0,-16.911571218563562,-19.17357170701007,-14.649570730117057,-30.99310060056871,-31.088520425565115,-30.897680775572304,-29.869287067848134,14.081529382005147,12.957715849284572
400.0,-16.98714209555985,-19.249142584006357,-14.725141607113345,-31.02191633217693,-31.117336157173334,-30.926496507180524,-29.869287067848134,14.034774236617078,12.882144972288284
410.0,-17.06271297255614,-19.324713461002645,-14.800712484109637,-31.05073206378515,-31.146151888781556,-30.955312238788746,-29.869287067848134,13.98801909122901,12.806574095291992
420.0,-17.13828384955243,-19.400284337998933,-14.876283361105925,-31.07954779539337,-31.174967620389776,-30.984127970396965,-29.869287067848134,13.94126394584094,12.731003218295704
430.0,-17.213854726548718,-19.47585521499522,-14.951854238102213,-31.10836352700159,-31.203783351997995,-31.012943702005185,-29.869287067848134,13.894508800452872,12.655432341299417
440.0,-17.289425603545006,-19.55142609199151,-15.0274251150985,-31.13717925860981,-31.232599083606214,-31.041759433613404,-29.869287067848134,13.847753655064803,12.579861464303129
450.0,-17.364996480541294,-19.626996968987797,-15.102995992094788,-31.165994990218028,-31.261414815214433,-31.070575165221623,-29.869287067848134,13.800998509676734,12.50429058730684
460.0,-17.44056735753758,-19.702567845984085,-15.178566869091076,-31.19481072182625,-31.290230546822656,-31.099390896829846,-29.869287067848134,13.75424336428867,12.428719710310553
470.0,-17.516138234533873,-19.77813872298038,-15.254137746087368,-31.22362645343447,-31.319046278430875,-31.128206628438065,-29.869287067848134,13.707488218900597,12.353148833314261
480.0,-17.59170911153016,-19.853709599976668,-15.329708623083656,-31.25244218504269,-31.347862010039094,-31.157022360046284,-29.869287067848134,13.660733073512528,12.277577956317973
490.0,-17.66727998852645,-19.929280476972956,-15.405279500079944,-31.281257916650908,-31.376677741647313,-31.185838091654503,-29.869287067848134,13.61397792812446,12.202007079321685
500.0,-17.742850865522737,-20.004851353969244,-15.480850377076232,-31.310073648259127,-31.405493473255532,-31.214653823262722,-29.869287067848134,13.56722278273639,12.126436202325397
510.0,-17.81842174251903,-20.08042223096553,-15.556421254072523,-31.33888937986735,-31.434309204863755,-31.243469554870945,-29.869287067848134,13.520467637348322,12.050865325329106
