T_K,element,sublattice,y_or_x,endmember_share_kJmol,RT_ln_y_kJmol,excess_beta_kJmol,mu_HEI_total_kJmol
300,Pt,alpha,1.0,-12.589,0.0,0.0,-12.589
300,Ga,beta,0.65,-12.589,-1.075,-0.022,-13.685
300,In,beta,0.2,-12.589,-4.014,-0.239,-16.842
300,Sn,beta,0.1,-12.589,-5.743,-0.047,-18.38
300,Zn,beta,0.05,-12.589,-7.472,-0.022,-20.083
800,Pt,alpha,1.0,-12.589,0.0,0.0,-12.589
800,Ga,beta,0.65,-12.589,-2.865,-0.022,-15.476
800,In,beta,0.2,-12.589,-10.705,-0.239,-23.533
800,Sn,beta,0.1,-12.589,-15.316,-0.047,-27.952
800,Zn,beta,0.05,-12.589,-19.926,-0.022,-32.537
1000,Pt,alpha,1.0,-12.589,0.0,0.0,-12.589
1000,Ga,beta,0.65,-12.589,-3.582,-0.022,-16.192
1000,In,beta,0.2,-12.589,-13.382,-0.239,-26.209
1000,Sn,beta,0.1,-12.589,-19.145,-0.047,-31.781
1000,Zn,beta,0.05,-12.589,-24.908,-0.022,-37.519
1200,Pt,alpha,1.0,-12.589,0.0,0.0,-12.589
1200,Ga,beta,0.65,-12.589,-4.298,-0.022,-16.909
1200,In,beta,0.2,-12.589,-16.058,-0.239,-28.886
1200,Sn,beta,0.1,-12.589,-22.974,-0.047,-35.61
1200,Zn,beta,0.05,-12.589,-29.889,-0.022,-42.5
