element,sublattice,y_or_x,dHf_endmember_per_atom_kJmol,RT_lny_per_atom_kJmol,excess_per_atom_kJmol,mu_HEI_per_atom_kJmol,note,T_K
Pt,alpha,1.0,-12.589,0.0,0.0,-12.589,alpha: weighted avg of Pt3i end-members / 4,300
Ga,beta,0.65,-13.025,-0.269,-0.005,-13.299,beta: Pt3Ga end-member / 4,300
In,beta,0.2,-10.35,-1.004,-0.06,-11.413,beta: Pt3In end-member / 4,300
Sn,beta,0.1,-15.6,-1.436,-0.012,-17.048,beta: Pt3Sn end-member / 4,300
Zn,beta,0.05,-9.85,-1.868,-0.006,-11.724,beta: Pt3Zn end-member / 4,300
Pt,alpha,1.0,-12.589,0.0,0.0,-12.589,alpha: weighted avg of Pt3i end-members / 4,800
Ga,beta,0.65,-13.025,-0.716,-0.005,-13.747,beta: Pt3Ga end-member / 4,800
In,beta,0.2,-10.35,-2.676,-0.06,-13.086,beta: Pt3In end-member / 4,800
Sn,beta,0.1,-15.6,-3.829,-0.012,-19.441,beta: Pt3Sn end-member / 4,800
Zn,beta,0.05,-9.85,-4.982,-0.006,-14.837,beta: Pt3Zn end-member / 4,800
Pt,alpha,1.0,-12.589,0.0,0.0,-12.589,alpha: weighted avg of Pt3i end-members / 4,1000
Ga,beta,0.65,-13.025,-0.895,-0.005,-13.926,beta: Pt3Ga end-member / 4,1000
In,beta,0.2,-10.35,-3.345,-0.06,-13.755,beta: Pt3In end-member / 4,1000
Sn,beta,0.1,-15.6,-4.786,-0.012,-20.398,beta: Pt3Sn end-member / 4,1000
Zn,beta,0.05,-9.85,-6.227,-0.006,-16.082,beta: Pt3Zn end-member / 4,1000
Pt,alpha,1.0,-12.589,0.0,0.0,-12.589,alpha: weighted avg of Pt3i end-members / 4,1200
Ga,beta,0.65,-13.025,-1.075,-0.005,-14.105,beta: Pt3Ga end-member / 4,1200
In,beta,0.2,-10.35,-4.014,-0.06,-14.424,beta: Pt3In end-member / 4,1200
Sn,beta,0.1,-15.6,-5.743,-0.012,-21.355,beta: Pt3Sn end-member / 4,1200
Zn,beta,0.05,-9.85,-7.472,-0.006,-17.328,beta: Pt3Zn end-member / 4,1200
