T_K,element,phase,x_i,mu_E_kJmol,RT_ln_x_kJmol,mu_total_kJmol
300,Ga,liquid_cocktail,0.65,-0.022,-1.075,-1.096
300,In,liquid_cocktail,0.2,-0.239,-4.014,-4.253
300,Sn,liquid_cocktail,0.1,-0.047,-5.743,-5.791
300,Zn,liquid_cocktail,0.05,-0.022,-7.472,-7.494
300,Pt,solid_fcc_pure,1.0,0.0,0.0,0.0
800,Ga,liquid_cocktail,0.65,-0.022,-2.865,-2.887
800,In,liquid_cocktail,0.2,-0.239,-10.705,-10.944
800,Sn,liquid_cocktail,0.1,-0.047,-15.316,-15.363
800,Zn,liquid_cocktail,0.05,-0.022,-19.926,-19.948
800,Pt,solid_fcc_pure,1.0,0.0,0.0,0.0
1000,Ga,liquid_cocktail,0.65,-0.022,-3.582,-3.604
1000,In,liquid_cocktail,0.2,-0.239,-13.382,-13.621
1000,Sn,liquid_cocktail,0.1,-0.047,-19.145,-19.192
1000,Zn,liquid_cocktail,0.05,-0.022,-24.908,-24.93
1000,Pt,solid_fcc_pure,1.0,0.0,0.0,0.0
1200,Ga,liquid_cocktail,0.65,-0.022,-4.298,-4.32
1200,In,liquid_cocktail,0.2,-0.239,-16.058,-16.297
1200,Sn,liquid_cocktail,0.1,-0.047,-22.974,-23.021
1200,Zn,liquid_cocktail,0.05,-0.022,-29.889,-29.912
1200,Pt,solid_fcc_pure,1.0,0.0,0.0,0.0
