element,phase,x_i,DH_fus_kJmol,mu_E_kJmol,RT_ln_x_kJmol,mu_total_SER_kJmol,T_K
Ga,liquid_cocktail,0.65,5.59,0.001,-1.075,4.516,300
In,liquid_cocktail,0.2,3.28,-0.235,-4.014,-0.969,300
Sn,liquid_cocktail,0.1,7.03,-0.082,-5.743,1.205,300
Zn,liquid_cocktail,0.05,7.32,-0.012,-7.472,-0.164,300
Pt,solid_fcc_pure,1.0,0.0,0.0,0.0,0.0,300
Ga,liquid_cocktail,0.65,5.59,0.001,-2.865,2.726,800
In,liquid_cocktail,0.2,3.28,-0.235,-10.705,-7.66,800
Sn,liquid_cocktail,0.1,7.03,-0.082,-15.316,-8.368,800
Zn,liquid_cocktail,0.05,7.32,-0.012,-19.926,-12.618,800
Pt,solid_fcc_pure,1.0,0.0,0.0,0.0,0.0,800
Ga,liquid_cocktail,0.65,5.59,0.001,-3.582,2.009,1000
In,liquid_cocktail,0.2,3.28,-0.235,-13.382,-10.336,1000
Sn,liquid_cocktail,0.1,7.03,-0.082,-19.145,-12.197,1000
Zn,liquid_cocktail,0.05,7.32,-0.012,-24.908,-17.6,1000
Pt,solid_fcc_pure,1.0,0.0,0.0,0.0,0.0,1000
Ga,liquid_cocktail,0.65,5.59,0.001,-4.298,1.293,1200
In,liquid_cocktail,0.2,3.28,-0.235,-16.058,-13.013,1200
Sn,liquid_cocktail,0.1,7.03,-0.082,-22.974,-16.026,1200
Zn,liquid_cocktail,0.05,7.32,-0.012,-29.889,-22.581,1200
Pt,solid_fcc_pure,1.0,0.0,0.0,0.0,0.0,1200
