tier,element,y_or_x,mu_kJmol,phase_label
liquid_top,Ga,0.65,-0.022,"Ga/In/Sn/Zn (l, cocktail)"
liquid_top,In,0.2,-0.239,"Ga/In/Sn/Zn (l, cocktail)"
liquid_top,Sn,0.1,-0.047,"Ga/In/Sn/Zn (l, cocktail)"
liquid_top,Zn,0.05,-0.022,"Ga/In/Sn/Zn (l, cocktail)"
Pt_middle,Pt,1.0,0.0,"Pt (s, fcc)"
HEI_bottom,Pt,1.0,-12.589,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,Ga,0.65,-12.611,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,In,0.2,-12.828,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,Sn,0.1,-12.636,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,Zn,0.05,-12.611,"Pt3(Ga,In,Sn,Zn) L1_2"
