tier,element,y_or_x,mu_per_atom_kJmol,phase_label
liquid_top,Ga,0.65,1.3978,Ga (liquid cocktail)
liquid_top,In,0.2,0.7612,In (liquid cocktail)
liquid_top,Sn,0.1,1.737,Sn (liquid cocktail)
liquid_top,Zn,0.05,1.827,Zn (liquid cocktail)
Pt_middle,Pt,1.0,0.0,"Pt (s, fcc, SER=0)"
HEI_bottom,Pt,1.0,-36.3112,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,Ga,0.65,-43.4296,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,In,0.2,-20.4952,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,Sn,0.1,-24.2309,"Pt3(Ga,In,Sn,Zn) L1_2"
HEI_bottom,Zn,0.05,-31.1968,"Pt3(Ga,In,Sn,Zn) L1_2"
