Host,Delta_H_mix,f_surf,Gamma_SL_geom,Gamma_SL_chem,Gamma_SL,Status,Gamma_SL_Uncertainty_J_m2,Gamma_SL_Lower_J_m2,Gamma_SL_Upper_J_m2,Interpretation
Pt,-33.2755,0.02492,0.380893,-0.829233,-0.44834,Wets,0.2,-0.64834,-0.24834,favourable
Pd,-25.7873,0.02594,0.241876,-0.668884,-0.427008,Wets,0.2,-0.627008,-0.227008,favourable
Au,-15.9483,0.02306,0.104591,-0.367811,-0.26322,Wets,0.2,-0.46322,-0.06322,favourable
Ce,-14.3223,0.0144,0.007808,-0.206269,-0.198461,Wets,0.2,-0.398461,0.001539,indeterminate
La,-14.1824,0.01366,0.007808,-0.19378,-0.185972,Wets,0.2,-0.385972,0.014028,indeterminate
Ir,-28.4683,0.02602,0.591382,-0.740737,-0.149355,Wets,0.2,-0.349355,0.050645,indeterminate
Ni,-16.2816,0.03088,0.366177,-0.502769,-0.136592,Wets,0.2,-0.336592,0.063408,indeterminate
Rh,-23.1607,0.02652,0.483013,-0.614224,-0.131211,Wets,0.2,-0.331211,0.068789,indeterminate
Y,-10.2799,0.01479,0.038324,-0.152045,-0.113721,Wets,0.2,-0.313721,0.086279,indeterminate
Sc,-9.4143,0.01785,0.062899,-0.168006,-0.105107,Wets,0.2,-0.305107,0.094893,indeterminate
Ru,-22.504,0.02676,0.591382,-0.602153,-0.010772,Wets,0.2,-0.210772,0.189228,indeterminate
Cd,0.1156,0.01953,8.2e-05,0.002257,0.00234,Does Not Wet,0.2,-0.19766,0.20234,indeterminate
Co,-13.2219,0.03063,0.420929,-0.405015,0.015913,Does Not Wet,0.2,-0.184087,0.215913,indeterminate
Ag,-1.1173,0.02297,0.042852,-0.025668,0.017184,Does Not Wet,0.2,-0.182816,0.217184,indeterminate
Mn,-1.2183,0.02871,0.091893,-0.03498,0.056913,Does Not Wet,0.2,-0.143087,0.256913,indeterminate
Cu,-1.8605,0.02935,0.160896,-0.054615,0.106281,Does Not Wet,0.2,-0.093719,0.306281,indeterminate
Zr,-6.2074,0.01867,0.224845,-0.11588,0.108965,Does Not Wet,0.2,-0.091035,0.308965,indeterminate
Fe,-8.4931,0.02941,0.415863,-0.249785,0.166079,Does Not Wet,0.2,-0.033921,0.366079,indeterminate
Hf,-3.626,0.0192,0.286099,-0.069624,0.216475,Does Not Wet,0.2,0.016475,0.416475,unfavourable
Os,-20.7866,0.02623,0.763874,-0.545136,0.218738,Does Not Wet,0.2,0.018738,0.418738,unfavourable
Cr,-3.1099,0.02903,0.332501,-0.090279,0.242222,Does Not Wet,0.2,0.042222,0.442222,unfavourable
Ti,-2.1989,0.02244,0.30904,-0.049337,0.259703,Does Not Wet,0.2,0.059703,0.459703,unfavourable
Re,-21.0401,0.02535,0.884573,-0.533359,0.351214,Does Not Wet,0.2,0.151214,0.551214,unfavourable
V,0.5747,0.02644,0.405783,0.015191,0.420975,Does Not Wet,0.2,0.220975,0.620975,unfavourable
Nb,0.8721,0.02217,0.431111,0.019338,0.450449,Does Not Wet,0.2,0.250449,0.650449,unfavourable
Mo,-2.7685,0.0244,0.619348,-0.067563,0.551785,Does Not Wet,0.2,0.351785,0.751785,unfavourable
Ta,0.9903,0.02215,0.536473,0.021933,0.558406,Does Not Wet,0.2,0.358406,0.758406,unfavourable
W,-4.8905,0.02425,0.763874,-0.11859,0.645284,Does Not Wet,0.2,0.445284,0.845284,unfavourable
