Host,Mismatch_Percent,Enthalpy_Drive
Au,1.4930555555555594,-16.645150710812427
Ag,1.4930555555555594,-1.2343233675461336
Mo,2.050359712230212,-4.786093062747427
Pt,2.050359712230212,-35.37792675405241
W,2.050359712230212,-7.540135709948839
Nb,2.8424657534246616,-0.08784762751465561
Ta,2.8424657534246616,-0.027560170171235892
Ti,3.5034013605442214,-2.5029644898754846
Re,3.540145985401456,-24.979525279892357
Pd,3.540145985401456,-27.05489380903433
Ir,4.30147058823529,-31.02225286914946
Os,5.07407407407407,-24.966472364098536
Ru,5.858208955223876,-25.057952869149485
V,5.858208955223876,-0.5029799086402781
Rh,5.858208955223876,-25.095181119357697
Cd,6.059602649006626,-0.08417588784365815
Hf,10.786163522012583,-3.8224639891995387
Cr,10.820312499999996,-4.805966415663765
Cu,10.820312499999996,-2.1645644898754908
Zr,11.343750000000004,-6.3244233675461325
Mn,11.692913385826767,-2.122041098465927
Sc,12.438271604938276,-9.460565145892929
Fe,12.579365079365074,-10.510693062747416
Co,13.479999999999995,-15.075089995613165
Ni,14.395161290322575,-18.134789995613183
Y,21.194444444444446,-10.61747904203927
Ce,21.62983425414365,-14.599656402116837
La,24.14438502673797,-14.586897971730775
