Host,Miedema_kJ_4atom,DFT_MP_kJ_4atom,CHGNet_kJ_4atom,Mean_kJ,Std_kJ
Pt,356.2400323651804,243.13754845814964,239.31313,279.5635688112272,54.24092304945425
Rh,252.54049334443187,262.42359017427464,263.3418,259.4352934645688,4.889749646542572
Pd,272.3016402507597,255.74247670077543,239.3836,255.8092409695221,13.438814147621224
La,145.36762795933686,318.79430481396616,276.16028,246.77407036453852,73.78737459631334
Ir,312.3196975261647,207.07820144813905,177.99562,232.46450656728095,57.700882533125935
Ce,145.4954379580431,279.3246680611339,243.8447,222.88826735469965,56.609449358935244
Y,105.47675218764763,250.69120505376654,258.06824,204.74539818203388,70.25811084554279
Sc,93.85287574847295,261.4588892436,255.60313,203.63829971578215,77.66681811290664
Ru,252.1684975261649,171.19563119976695,153.63365,192.33259348644344,42.913535858998735
Ni,182.32894053506567,163.55580442956003,145.16328,163.68267642212786,15.173080838335094
Os,251.25428304404392,121.29580176162617,69.06298,147.2043551525085,76.60225201627175
Au,167.29237068652353,89.97366346220001,76.31893,111.19498857610445,40.05662771151416
Co,151.45814053506552,77.44394889526251,101.349846,110.08397843885284,30.84087055200674
Re,251.3847352230104,42.72809617197462,29.636276,107.91636921336742,101.58814882113293
Fe,105.39469419307764,91.94910265887462,78.271866,91.87188756555962,11.072982917338518
