Host,MP_ID,Formula,N_sites_MP,MP_DFT_Hf_eV_atom,MP_DFT_Hf_kJ_mol_atom,MP_DFT_EAboveHull_eV_atom,MP_Is_Stable
Au,mp-2776,Ga2Au,3,-0.233129,-22.4934,0.0,True
Co,mp-20559,Ga3Co,16,-0.200663,-19.361,0.0,True
Cu,mp-1197621,Ga4Cu9,52,-0.119858,-11.5645,0.0,True
Fe,mp-636368,Ga3Fe,16,-0.238247,-22.9873,0.0,True
Ir,mp-1212680,Ga5Ir3,32,-0.536555,-51.7696,0.0,True
Ni,mp-11397,Ga3Ni2,5,-0.423786,-40.889,0.0,True
Os,mp-570844,Ga3Os,16,-0.314287,-30.324,0.0,True
Pd,mp-1078526,GaPd,8,-0.662648,-63.9356,0.0,True
Pt,mp-1025551,GaPt,8,-0.629988,-60.7844,0.0,True
Re,mp-1188393,Ga3Re,16,-0.110712,-10.682,0.038573,False
Rh,mp-2444,GaRh,2,-0.67996,-65.6059,0.0,True
Ru,mp-1072429,Ga2Ru,6,-0.443581,-42.7989,0.0,True
Ce,mp-2209,CeGa2,3,-0.723752,-69.8312,0.0,True
La,mp-19839,LaGa2,3,-0.82602,-79.6986,0.0,True
Y,mp-1914,YGa2,3,-0.64956,-62.6728,0.0,True
