Host,Formula,c_host,Size_Pass,MP_DFT_Hf_kJ_mol_atom,MP_DFT_Rank,UMA_Hf_kJ_mol_atom,UMA_Rank,CHGNet_Hf_kJ_mol_atom,CHGNet_Rank,MP_DFT_abs_Hf_kJ_mol_atom,UMA_abs_Hf_kJ_mol_atom,CHGNet_abs_Hf_kJ_mol_atom,Bar_Mean_absHf_kJ_mol_atom,Bar_Std_absHf_kJ_mol_atom,Consensus_Rank_Mean
Rh,GaRh,0.5000,True,-65.6059,3,-67.6809,1,-65.8354,2,65.6059,67.6809,65.8354,66.3741,1.1376,2.0000
La,LaGa2,0.3333,False,-79.6986,1,-54.1220,5,-69.0400,1,79.6986,54.1220,69.0400,67.6202,12.8473,2.3300
Pd,GaPd,0.5000,True,-63.9356,4,-65.0768,2,-59.8459,5,63.9356,65.0768,59.8459,62.9528,2.7505,3.6700
Y,YGa2,0.3333,False,-62.6728,5,-60.4246,4,-64.5170,3,62.6728,60.4246,64.5170,62.5381,2.0495,4.0000
Ce,CeGa2,0.3333,False,-69.8312,2,-46.1182,7,-60.9612,4,69.8312,46.1182,60.9612,58.9702,11.9812,4.3300
Pt,GaPt,0.5000,True,-60.7844,6,-64.3311,3,-59.8283,6,60.7844,64.3311,59.8283,61.6479,2.3724,5.0000
Ir,Ga5Ir3,0.3750,True,-51.7696,7,-47.9853,6,-44.4989,7,51.7696,47.9853,44.4989,48.0846,3.6364,6.6700
Ru,Ga2Ru,0.3333,True,-42.7989,8,-39.4034,9,-38.4085,8,42.7989,39.4034,38.4085,40.2036,2.3020,8.3300
Ni,Ga3Ni2,0.4000,True,-40.8890,9,-43.1536,8,-36.2908,9,40.8890,43.1536,36.2908,40.1111,3.4969,8.6700
Fe,Ga3Fe,0.2500,True,-22.9873,11,-37.9969,10,-19.5679,11,22.9873,37.9969,19.5679,26.8507,9.8031,10.6700
Co,Ga3Co,0.2500,True,-19.3610,13,-31.1627,11,-25.3375,10,19.3610,31.1627,25.3375,25.2871,5.9010,11.3300
Os,Ga3Os,0.2500,True,-30.3240,10,-29.8142,12,-17.2657,13,30.3240,29.8142,17.2657,25.8013,7.3964,11.6700
Au,Ga2Au,0.3333,True,-22.4934,12,-25.9192,13,-19.0797,12,22.4934,25.9192,19.0797,22.4974,3.4198,12.3300
Cu,Ga4Cu9,0.6923,True,-11.5645,14,-11.4589,15,-9.4666,14,11.5645,11.4589,9.4666,10.8300,1.1819,14.3300
Re,Ga3Re,0.2500,True,-10.6820,15,-11.8661,14,-7.4091,15,10.6820,11.8661,7.4091,9.9857,2.3086,14.6700
