Element,MP_ID,Formula,CIF_File,Source
Au,mp-81,Au,elements\Au_Au_mp-81.cif,Materials Project summary.structure localized on 2026-04-15
Ce,mp-28,Ce,elements\Ce_Ce_mp-28.cif,Materials Project summary.structure localized on 2026-04-15
Co,mp-102,Co,elements\Co_Co_mp-102.cif,Materials Project summary.structure localized on 2026-04-15
Cu,mp-30,Cu,elements\Cu_Cu_mp-30.cif,Materials Project summary.structure localized on 2026-04-15
Fe,mp-13,Fe,elements\Fe_Fe_mp-13.cif,Materials Project summary.structure localized on 2026-04-15
Ga,mp-142,Ga,elements\Ga_Ga_mp-142.cif,Materials Project summary.structure localized on 2026-04-15
Ir,mp-101,Ir,elements\Ir_Ir_mp-101.cif,Materials Project summary.structure localized on 2026-04-15
La,mp-26,La,elements\La_La_mp-26.cif,Materials Project summary.structure localized on 2026-04-15
Ni,mp-23,Ni,elements\Ni_Ni_mp-23.cif,Materials Project summary.structure localized on 2026-04-15
Os,mp-49,Os,elements\Os_Os_mp-49.cif,Materials Project summary.structure localized on 2026-04-15
Pd,mp-2,Pd,elements\Pd_Pd_mp-2.cif,Materials Project summary.structure localized on 2026-04-15
Pt,mp-126,Pt,elements\Pt_Pt_mp-126.cif,Materials Project summary.structure localized on 2026-04-15
Re,mp-1186901,Re,elements\Re_Re_mp-1186901.cif,Materials Project summary.structure localized on 2026-04-15
Rh,mp-74,Rh,elements\Rh_Rh_mp-74.cif,Materials Project summary.structure localized on 2026-04-15
Ru,mp-33,Ru,elements\Ru_Ru_mp-33.cif,Materials Project summary.structure localized on 2026-04-15
Y,mp-112,Y,elements\Y_Y_mp-112.cif,Materials Project summary.structure localized on 2026-04-15
