Rank,Composition,Ga_count,In_count,Sn_count,Zn_count,Ga_pct,In_pct,Sn_pct,Zn_pct,Energy_eV_atom,Calibrated_Display_kJ_mol,N_components,Category,Optimal_Window,ElementRef_Hf_kJ_mol
1,Ga5Sn3 GLOBAL-MIN,5,0,3,0,62.500000,0.000000,37.500000,0.000000,-5.169472,-78.487814,2,Ga-Sn binary,YES,-35.785053
2,Ga6Sn2,6,0,2,0,75.000000,0.000000,25.000000,0.000000,-5.169020,-78.444279,2,Ga-Sn binary,YES,-38.508737
3,Ga4Sn4,4,0,4,0,50.000000,0.000000,50.000000,0.000000,-5.167889,-78.335122,2,Ga-Sn binary,NO,-32.865022
4,Ga7Sn,7,0,1,0,87.500000,0.000000,12.500000,0.000000,-5.165748,-78.128499,2,Ga-Sn binary,YES,-40.960334
5,Ga3Sn5,3,0,5,0,37.500000,0.000000,62.500000,0.000000,-5.164498,-78.007960,2,Ga-Sn binary,NO,-29.770546
6,Ga8 Pt3Ga-baseline,8,0,0,0,100.000000,0.000000,0.000000,0.000000,-5.162195,-77.785683,1,Pure Pt3Ga,YES,-43.384818
7,Ga2Sn6,2,0,6,0,25.000000,0.000000,75.000000,0.000000,-5.159925,-77.566673,2,Ga-Sn binary,NO,-26.562025
8,GaSn7,1,0,7,0,12.500000,0.000000,87.500000,0.000000,-5.152740,-76.873444,2,Ga-Sn binary,NO,-23.101485
9,Sn8 Pt3Sn,0,0,8,0,0.000000,0.000000,100.000000,0.000000,-5.141671,-75.805446,1,Pure Pt3Sn,NO,-19.266197
10,Ga5InSn2,5,1,2,0,62.500000,12.500000,25.000000,0.000000,-5.126488,-74.340503,3,Ga-In-Sn ternary,YES,-35.497450
11,Ga4InSn3,4,1,3,0,50.000000,12.500000,37.500000,0.000000,-5.126446,-74.336477,3,Ga-In-Sn ternary,NO,-32.726102
12,Ga6InSn MODEL-SELECTED,6,1,1,0,75.000000,12.500000,12.500000,0.000000,-5.124921,-74.189375,3,Ga-In-Sn ternary,YES,-38.113553
13,Ga3InSn4,3,1,4,0,37.500000,12.500000,50.000000,0.000000,-5.124850,-74.182501,3,Ga-In-Sn ternary,NO,-29.804817
14,Ga2InSn5,2,1,5,0,25.000000,12.500000,62.500000,0.000000,-5.122163,-73.923218,3,Ga-In-Sn ternary,NO,-26.778266
15,Ga7In,7,1,0,0,87.500000,12.500000,0.000000,0.000000,-5.121283,-73.838354,2,Ga-In binary,YES,-40.529836
16,GaInSn6,1,1,6,0,12.500000,12.500000,75.000000,0.000000,-5.117413,-73.464891,3,Ga-In-Sn ternary,NO,-23.552667
17,InSn7,0,1,7,0,0.000000,12.500000,87.500000,0.000000,-5.109575,-72.708729,2,In-Sn binary,NO,-20.029122
18,Ga4Sn3Zn,4,0,3,1,50.000000,0.000000,37.500000,12.500000,-5.099863,-71.771621,3,Contains Zn,NO,-34.520684
19,Ga3Sn4Zn,3,0,4,1,37.500000,0.000000,50.000000,12.500000,-5.099364,-71.723428,3,Contains Zn,NO,-31.705242
20,Ga5Sn2Zn,5,0,2,1,62.500000,0.000000,25.000000,12.500000,-5.098153,-71.606655,3,Contains Zn,NO,-37.122990
21,Ga2Sn5Zn,2,0,5,1,25.000000,0.000000,62.500000,12.500000,-5.096621,-71.458797,3,Contains Zn,NO,-28.673289
22,GaSn6Zn,1,0,6,1,12.500000,0.000000,75.000000,12.500000,-5.093873,-71.193676,3,Contains Zn,NO,-25.640853
23,Ga6SnZn,6,0,1,1,75.000000,0.000000,12.500000,12.500000,-5.093120,-71.121069,3,Contains Zn,NO,-39.404676
24,Ga7Zn,7,0,0,1,87.500000,0.000000,0.000000,12.500000,-5.089427,-70.764705,2,Contains Zn,NO,-41.815652
25,Sn7Zn,0,0,7,1,0.000000,0.000000,87.500000,12.500000,-5.089173,-70.740187,2,Contains Zn,NO,-22.420078
26,Ga4In2Sn2,4,2,2,0,50.000000,25.000000,25.000000,0.000000,-5.084546,-70.293780,3,Ga-In-Sn ternary,NO,-32.543088
27,Ga3In2Sn3,3,2,3,0,37.500000,25.000000,37.500000,0.000000,-5.084279,-70.267958,3,Ga-In-Sn ternary,NO,-29.750031
28,Ga5In2Sn,5,2,1,0,62.500000,25.000000,12.500000,0.000000,-5.083490,-70.191856,3,Ga-In-Sn ternary,NO,-35.208495
29,Ga2In2Sn4,2,2,4,0,25.000000,25.000000,50.000000,0.000000,-5.083383,-70.181572,3,Ga-In-Sn ternary,NO,-26.896285
30,GaIn2Sn5,1,2,5,0,12.500000,25.000000,62.500000,0.000000,-5.080808,-69.933080,3,Ga-In-Sn ternary,NO,-23.880541
31,Ga6In2,6,2,0,0,75.000000,25.000000,0.000000,0.000000,-5.080585,-69.911557,2,Ga-In binary,NO,-37.695502
32,In2Sn6,0,2,6,0,0.000000,25.000000,75.000000,0.000000,-5.075414,-69.412701,2,In-Sn binary,NO,-20.592806
33,Ga3InSn3Zn,3,1,3,1,37.500000,12.500000,37.500000,12.500000,-5.056910,-67.627331,4,Quaternary,NO,-31.468776
34,Ga4InSn2Zn,4,1,2,1,50.000000,12.500000,25.000000,12.500000,-5.055980,-67.537532,4,Quaternary,NO,-34.146340
35,Ga2InSn4Zn,2,1,4,1,25.000000,12.500000,50.000000,12.500000,-5.055843,-67.524324,4,Quaternary,NO,-28.598531
36,GaInSn5Zn,1,1,5,1,12.500000,12.500000,62.500000,12.500000,-5.054490,-67.393772,4,Quaternary,NO,-25.700691
37,Ga5InSnZn,5,1,1,1,62.500000,12.500000,12.500000,12.500000,-5.053530,-67.301135,4,Quaternary,NO,-36.677247
38,InSn6Zn,0,1,6,1,0.000000,12.500000,75.000000,12.500000,-5.051890,-67.142924,3,Contains Zn,NO,-22.682535
39,Ga6InZn,6,1,0,1,75.000000,12.500000,0.000000,12.500000,-5.048793,-66.844161,3,Contains Zn,NO,-38.987493
40,Ga2In3Sn3,2,3,3,0,25.000000,37.500000,37.500000,0.000000,-5.043755,-66.358037,3,Ga-In-Sn ternary,NO,-26.932485
41,Ga3In3Sn2,3,3,2,0,37.500000,37.500000,25.000000,0.000000,-5.043420,-66.325711,3,Ga-In-Sn ternary,NO,-29.667458
42,GaIn3Sn4,1,3,4,0,12.500000,37.500000,50.000000,0.000000,-5.042715,-66.257721,3,Ga-In-Sn ternary,NO,-24.064845
43,Ga4In3Sn,4,3,1,0,50.000000,37.500000,12.500000,0.000000,-5.042170,-66.205157,3,Ga-In-Sn ternary,NO,-32.314147
44,Ga5In3,5,3,0,0,62.500000,37.500000,0.000000,0.000000,-5.039710,-65.967772,2,Ga-In binary,NO,-34.844089
45,In3Sn5,0,3,5,0,0.000000,37.500000,62.500000,0.000000,-5.038515,-65.852491,2,In-Sn binary,NO,-20.892313
46,Ga2Sn4Zn2,2,0,4,2,25.000000,0.000000,50.000000,25.000000,-5.030695,-65.097966,3,Contains Zn,NO,-30.531569
47,Ga3Sn3Zn2,3,0,3,2,37.500000,0.000000,37.500000,25.000000,-5.030027,-65.033465,3,Contains Zn,NO,-33.234412
48,GaSn5Zn2,1,0,5,2,12.500000,0.000000,62.500000,25.000000,-5.027853,-64.823757,3,Contains Zn,NO,-27.490063
49,Ga4Sn2Zn2,4,0,2,2,50.000000,0.000000,25.000000,25.000000,-5.026567,-64.699645,3,Contains Zn,NO,-35.667869
50,Sn6Zn2,0,0,6,2,0.000000,0.000000,75.000000,25.000000,-5.026434,-64.686831,2,Contains Zn,NO,-24.585855
51,Ga5SnZn2,5,0,1,2,62.500000,0.000000,12.500000,25.000000,-5.020370,-64.101757,3,Contains Zn,NO,-37.837247
52,Ga6Zn2,6,0,0,2,75.000000,0.000000,0.000000,25.000000,-5.017100,-63.786273,2,Contains Zn,NO,-40.289036
53,GaIn2Sn4Zn,1,2,4,1,12.500000,25.000000,50.000000,12.500000,-5.014568,-63.541942,4,Quaternary,NO,-25.708525
54,Ga2In2Sn3Zn,2,2,3,1,25.000000,25.000000,37.500000,12.500000,-5.014340,-63.519960,4,Quaternary,NO,-28.453821
55,Ga3In2Sn2Zn,3,2,2,1,37.500000,25.000000,25.000000,12.500000,-5.014267,-63.512908,4,Quaternary,NO,-31.214073
56,In2Sn5Zn,0,2,5,1,0.000000,25.000000,62.500000,12.500000,-5.013649,-63.453225,3,Contains Zn,NO,-22.852560
57,Ga4In2SnZn,4,2,1,1,50.000000,25.000000,12.500000,12.500000,-5.012483,-63.340804,4,Quaternary,NO,-33.809240
58,Ga5In2Zn,5,2,0,1,62.500000,25.000000,0.000000,12.500000,-5.008417,-62.948501,3,Contains Zn,NO,-36.184227
59,Ga2In4Sn2,2,4,2,0,25.000000,50.000000,25.000000,0.000000,-5.003016,-62.427367,3,Ga-In-Sn ternary,NO,-26.861490
60,GaIn4Sn3,1,4,3,0,12.500000,50.000000,37.500000,0.000000,-5.002655,-62.392494,3,Ga-In-Sn ternary,NO,-24.059364
61,Ga3In4Sn,3,4,1,0,37.500000,50.000000,12.500000,0.000000,-5.001127,-62.245125,3,Ga-In-Sn ternary,NO,-29.446525
62,In4Sn4,0,4,4,0,0.000000,50.000000,50.000000,0.000000,-5.000058,-62.141917,2,In-Sn binary,NO,-21.041497
63,Ga4In4,4,4,0,0,50.000000,50.000000,0.000000,0.000000,-4.998858,-62.026189,2,Ga-In binary,NO,-31.994896
64,Ga2InSn3Zn2,2,1,3,2,25.000000,12.500000,37.500000,25.000000,-4.987546,-60.934681,4,Quaternary,NO,-30.228045
65,GaInSn4Zn2,1,1,4,2,12.500000,12.500000,50.000000,25.000000,-4.986454,-60.829375,4,Quaternary,NO,-27.355388
66,InSn5Zn2,0,1,5,2,0.000000,12.500000,62.500000,25.000000,-4.985855,-60.771606,3,Contains Zn,NO,-24.530298
67,Ga3InSn2Zn2,3,1,2,2,37.500000,12.500000,25.000000,25.000000,-4.985281,-60.716188,4,Quaternary,NO,-32.776802
68,Ga4InSnZn2,4,1,1,2,50.000000,12.500000,12.500000,25.000000,-4.981099,-60.312719,4,Quaternary,NO,-35.140597
69,Ga5InZn2,5,1,0,2,62.500000,12.500000,0.000000,25.000000,-4.975723,-59.794014,3,Contains Zn,NO,-37.389189
70,In3Sn4Zn,0,3,4,1,0.000000,37.500000,50.000000,12.500000,-4.974999,-59.724138,3,Contains Zn,NO,-22.983122
71,GaIn3Sn3Zn,1,3,3,1,12.500000,37.500000,37.500000,12.500000,-4.974088,-59.636188,4,Quaternary,NO,-25.662519
72,Ga2In3Sn2Zn,2,3,2,1,25.000000,37.500000,25.000000,12.500000,-4.972944,-59.525872,4,Quaternary,NO,-28.319436
73,Ga3In3SnZn,3,3,1,1,37.500000,37.500000,12.500000,12.500000,-4.971011,-59.339328,4,Quaternary,NO,-30.900226
74,Ga4In3Zn,4,3,0,1,50.000000,37.500000,0.000000,12.500000,-4.967880,-59.037281,3,Contains Zn,NO,-33.365427
75,GaIn5Sn2,1,5,2,0,12.500000,62.500000,25.000000,0.000000,-4.961518,-58.423442,3,Ga-In-Sn ternary,NO,-23.949968
76,Ga2In5Sn,2,5,1,0,25.000000,62.500000,12.500000,0.000000,-4.960368,-58.312464,3,Ga-In-Sn ternary,NO,-26.606306
77,In5Sn3,0,5,3,0,0.000000,62.500000,37.500000,0.000000,-4.960171,-58.293408,2,In-Sn binary,NO,-21.052707
78,GaSn4Zn3,1,0,4,3,12.500000,0.000000,50.000000,37.500000,-4.959915,-58.268712,3,Contains Zn,NO,-29.154215
79,Ga2Sn3Zn3,2,0,3,3,25.000000,0.000000,37.500000,37.500000,-4.959492,-58.227968,3,Contains Zn,NO,-31.880697
80,Ga3In5,3,5,0,0,37.500000,62.500000,0.000000,0.000000,-4.958049,-58.088687,2,Ga-In binary,NO,-29.149852
81,Sn5Zn3,0,0,5,3,0.000000,0.000000,62.500000,37.500000,-4.957888,-58.073167,2,Contains Zn,NO,-26.191345
82,Ga3Sn2Zn3,3,0,2,3,37.500000,0.000000,25.000000,37.500000,-4.954843,-57.779365,3,Contains Zn,NO,-34.199434
83,Ga4SnZn3,4,0,1,3,50.000000,0.000000,12.500000,37.500000,-4.948152,-57.133774,3,Contains Zn,NO,-36.321148
84,In2Sn4Zn2,0,2,4,2,0.000000,25.000000,50.000000,25.000000,-4.944827,-56.812998,3,Contains Zn,NO,-24.431419
85,Ga2In2Sn2Zn2,2,2,2,2,25.000000,25.000000,25.000000,25.000000,-4.944187,-56.751222,4,Quaternary,NO,-29.904259
86,GaIn2Sn3Zn2,1,2,3,2,12.500000,25.000000,37.500000,25.000000,-4.944111,-56.743934,4,Quaternary,NO,-27.129631
87,Ga5Zn3,5,0,0,3,62.500000,0.000000,0.000000,37.500000,-4.943990,-56.732213,2,Contains Zn,NO,-38.686873
88,Ga3In2SnZn2,3,2,1,2,37.500000,25.000000,12.500000,25.000000,-4.941640,-56.505432,4,Quaternary,NO,-32.425807
89,Ga4In2Zn2,4,2,0,2,50.000000,25.000000,0.000000,25.000000,-4.935606,-55.923285,3,Contains Zn,NO,-34.610912
