PurePt3Ga_Ga_pct_jitter,PurePt3Ga_Hf_kJ_mol,PurePt3Ga_Ga_pct_raw,PurePt3Ga_Composition,PurePt3Sn_Ga_pct_jitter,PurePt3Sn_Hf_kJ_mol,PurePt3Sn_Ga_pct_raw,PurePt3Sn_Composition,PurePt3In_Ga_pct_jitter,PurePt3In_Hf_kJ_mol,PurePt3In_Ga_pct_raw,PurePt3In_Composition,PurePt3Zn_Ga_pct_jitter,PurePt3Zn_Hf_kJ_mol,PurePt3Zn_Ga_pct_raw,PurePt3Zn_Composition,GaSn_Ga_pct_jitter,GaSn_Hf_kJ_mol,GaSn_Ga_pct_raw,GaSn_Composition,GaIn_Ga_pct_jitter,GaIn_Hf_kJ_mol,GaIn_Ga_pct_raw,GaIn_Composition,InSn_Ga_pct_jitter,InSn_Hf_kJ_mol,InSn_Ga_pct_raw,InSn_Composition,GaInSn_Ga_pct_jitter,GaInSn_Hf_kJ_mol,GaInSn_Ga_pct_raw,GaInSn_Composition,ZnBinTer_Ga_pct_jitter,ZnBinTer_Hf_kJ_mol,ZnBinTer_Ga_pct_raw,ZnBinTer_Composition,Quaternary_Ga_pct_jitter,Quaternary_Hf_kJ_mol,Quaternary_Ga_pct_raw,Quaternary_Composition
100.397407,-43.384818,100.000000,Ga8 Pt3Ga-baseline,0.844704,-19.266197,0.000000,Sn8 Pt3Sn,1.008659,-20.715740,0.000000,In8 Pt3In,1.831139,-31.257088,0.000000,Zn8 Pt3Zn,60.738779,-35.785053,62.500000,Ga5Sn3 GLOBAL-MIN,88.417206,-40.529836,87.500000,Ga7In,-1.175732,-20.029122,0.000000,InSn7,61.137446,-35.497450,62.500000,Ga5InSn2,49.121023,-34.520684,50.000000,Ga4Sn3Zn,38.117053,-31.468776,37.500000,Ga3InSn3Zn
,,,,,,,,,,,,,,,,76.051311,-38.508737,75.000000,Ga6Sn2,74.452329,-37.695502,75.000000,Ga6In2,-1.829699,-20.592806,0.000000,In2Sn6,52.075557,-32.726102,50.000000,Ga4InSn3,35.884734,-31.705242,37.500000,Ga3Sn4Zn,51.632663,-34.146340,50.000000,Ga4InSn2Zn
,,,,,,,,,,,,,,,,48.665828,-32.865022,50.000000,Ga4Sn4,60.234055,-34.844089,62.500000,Ga5In3,1.146992,-20.892313,0.000000,In3Sn5,77.114746,-38.113553,75.000000,Ga6InSn MODEL-SELECTED,61.467187,-37.122990,62.500000,Ga5Sn2Zn,24.453460,-28.598531,25.000000,Ga2InSn4Zn
,,,,,,,,,,,,,,,,89.337785,-40.960334,87.500000,Ga7Sn,48.003472,-31.994896,50.000000,Ga4In4,0.529637,-21.041497,0.000000,In4Sn4,36.631517,-29.804817,37.500000,Ga3InSn4,25.380696,-28.673289,25.000000,Ga2Sn5Zn,11.872729,-25.700691,12.500000,GaInSn5Zn
,,,,,,,,,,,,,,,,36.655451,-29.770546,37.500000,Ga3Sn5,37.594474,-29.149852,37.500000,Ga3In5,-1.277868,-21.052707,0.000000,In5Sn3,27.145292,-26.778266,25.000000,Ga2InSn5,14.415771,-25.640853,12.500000,GaSn6Zn,60.229286,-36.677247,62.500000,Ga5InSnZn
,,,,,,,,,,,,,,,,25.094049,-26.562025,25.000000,Ga2Sn6,27.226208,-26.332113,25.000000,Ga2In6,0.852804,-21.015868,0.000000,In6Sn2,10.989055,-23.552667,12.500000,GaInSn6,76.442226,-39.404676,75.000000,Ga6SnZn,11.045264,-25.708525,12.500000,GaIn2Sn4Zn
,,,,,,,,,,,,,,,,13.503635,-23.101485,12.500000,GaSn7,13.122280,-23.526532,12.500000,GaIn7,-0.134493,-20.905507,0.000000,In7Sn,51.213198,-32.543088,50.000000,Ga4In2Sn2,85.845159,-41.815652,87.500000,Ga7Zn,23.913170,-28.453821,25.000000,Ga2In2Sn3Zn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.446125,-29.750031,37.500000,Ga3In2Sn3,-0.511639,-22.420078,0.000000,Sn7Zn,39.118176,-31.214073,37.500000,Ga3In2Sn2Zn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.451502,-35.208495,62.500000,Ga5In2Sn,1.396941,-22.682535,0.000000,InSn6Zn,51.127353,-33.809240,50.000000,Ga4In2SnZn
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.235095,-26.896285,25.000000,Ga2In2Sn4,77.026443,-38.987493,75.000000,Ga6InZn,26.939757,-30.228045,25.000000,Ga2InSn3Zn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.267632,-23.880541,12.500000,GaIn2Sn5,27.119034,-30.531569,25.000000,Ga2Sn4Zn2,14.696856,-27.355388,12.500000,GaInSn4Zn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.954922,-26.932485,25.000000,Ga2In3Sn3,38.763776,-33.234412,37.500000,Ga3Sn3Zn2,38.307158,-32.776802,37.500000,Ga3InSn2Zn2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.092374,-29.667458,37.500000,Ga3In3Sn2,13.749546,-27.490063,12.500000,GaSn5Zn2,48.392914,-35.140597,50.000000,Ga4InSnZn2
