0%_InSn_X,0%_InSn_Y,0%_PartZn_X,0%_PartZn_Y,0%_Pure_X,0%_Pure_Y,0%_Mean_X,0%_Mean_Y,0%_Mean_Std,12%_GaSn_X,12%_GaSn_Y,12%_GaIn_X,12%_GaIn_Y,12%_GaInSn_X,12%_GaInSn_Y,12%_FiveElem_X,12%_FiveElem_Y,12%_PartZn_X,12%_PartZn_Y,12%_Mean_X,12%_Mean_Y,12%_Mean_Std,25%_GaSn_X,25%_GaSn_Y,25%_GaIn_X,25%_GaIn_Y,25%_GaInSn_X,25%_GaInSn_Y,25%_FiveElem_X,25%_FiveElem_Y,25%_PartZn_X,25%_PartZn_Y,25%_Mean_X,25%_Mean_Y,25%_Mean_Std,37%_GaSn_X,37%_GaSn_Y,37%_GaIn_X,37%_GaIn_Y,37%_GaInSn_X,37%_GaInSn_Y,37%_FiveElem_X,37%_FiveElem_Y,37%_PartZn_X,37%_PartZn_Y,37%_Mean_X,37%_Mean_Y,37%_Mean_Std,50%_GaSn_X,50%_GaSn_Y,50%_GaIn_X,50%_GaIn_Y,50%_GaInSn_X,50%_GaInSn_Y,50%_FiveElem_X,50%_FiveElem_Y,50%_PartZn_X,50%_PartZn_Y,50%_Mean_X,50%_Mean_Y,50%_Mean_Std,62%_GaSn_X,62%_GaSn_Y,62%_GaIn_X,62%_GaIn_Y,62%_GaInSn_X,62%_GaInSn_Y,62%_FiveElem_X,62%_FiveElem_Y,62%_PartZn_X,62%_PartZn_Y,62%_Mean_X,62%_Mean_Y,62%_Mean_Std,75%_GaSn_X,75%_GaSn_Y,75%_GaIn_X,75%_GaIn_Y,75%_GaInSn_X,75%_GaInSn_Y,75%_PartZn_X,75%_PartZn_Y,75%_Mean_X,75%_Mean_Y,75%_Mean_Std,87%_GaSn_X,87%_GaSn_Y,87%_GaIn_X,87%_GaIn_Y,87%_PartZn_X,87%_PartZn_Y,87%_Mean_X,87%_Mean_Y,87%_Mean_Std,100%_Pure_X,100%_Pure_Y,100%_Mean_X,100%_Mean_Y,100%_Mean_Std
-0.259,-21.0527,-0.043,-30.4806,0.192,-31.2571,0.0,-24.8221,3.1355,0.115,-23.1015,0.199,-23.5265,-0.186,-24.0648,-0.252,-30.8186,0.213,-32.6201,0.0,-27.2134,2.6978,-0.159,-26.562,-0.283,-26.3321,-0.164,-26.9325,-0.287,-32.1726,-0.066,-33.9851,0.0,-29.5483,2.2797,-0.004,-29.7705,0.061,-29.1499,-0.321,-29.8048,0.055,-33.5955,0.282,-35.4605,0.0,-31.8686,1.8914,-0.009,-32.865,-0.019,-31.9949,-0.007,-32.7261,0.064,-35.1406,-0.231,-37.0375,0.0,-34.1916,1.515,0.277,-35.7851,-0.274,-34.8441,-0.252,-35.4974,-0.335,-36.6772,-0.163,-38.6869,0.0,-36.5233,1.1748,0.159,-38.5087,-0.275,-37.6955,0.188,-38.1136,0.121,-40.289,0.0,-38.8332,0.8551,-0.189,-40.9603,-0.324,-40.5298,0.291,-41.8157,0.0,-41.1019,0.5344,0.038,-43.3848,0.0,-43.3848,
-0.017,-21.0415,0.251,-29.9987,0.233,-20.7157,,,,,,,,-0.309,-24.0594,0.201,-29.9728,-0.079,-31.8094,,,,,,,,0.328,-26.8963,-0.237,-31.3662,0.22,-33.2988,,,,,,,,-0.119,-29.75,0.181,-32.7768,-0.031,-34.8569,,,,,,,,0.306,-32.5431,-0.012,-34.1463,0.298,-36.3211,,,,,,,,0.038,-35.2085,,,-0.118,-37.8372,,,,,,,,,,-0.153,-39.4047,,,,,,,,,,,,,,,,,
-0.191,-21.0159,0.138,-29.9595,0.233,-19.2662,,,,,,,,-0.153,-23.95,0.115,-29.5047,-0.148,-31.3877,,,,,,,,0.195,-26.8615,0.001,-30.9543,-0.233,-32.7717,,,,,,,,-0.249,-29.6675,0.154,-32.4258,-0.208,-34.2938,,,,,,,,0.05,-32.3141,0.198,-33.8092,0.057,-35.8117,,,,,,,,,,,,0.014,-37.3892,,,,,,,,,,0.112,-38.9875,,,,,,,,,,,,,,,,,
0.119,-20.9055,-0.284,-29.3508,,,,,,,,,,-0.144,-23.8805,-0.029,-28.8089,0.128,-31.3397,,,,,,,,0.152,-26.7783,-0.038,-30.228,-0.334,-32.7689,,,,,,,,-0.278,-29.4465,0.059,-31.4688,-0.136,-34.1994,,,,,,,,,,,,-0.107,-35.6679,,,,,,,,,,,,-0.043,-37.123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.044,-20.8923,0.333,-29.0167,,,,,,,,,,0.113,-23.7691,0.048,-28.4125,-0.21,-30.5073,,,,,,,,-0.035,-26.6063,-0.083,-29.9043,0.156,-31.8807,,,,,,,,,,0.105,-31.2141,-0.226,-33.2344,,,,,,,,,,,,-0.334,-34.6109,,,,,,,,,,,,0.228,-36.1842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.14,-20.5928,0.183,-28.7987,,,,,,,,,,0.04,-23.5527,-0.252,-28.0678,-0.345,-30.2099,,,,,,,,,,-0.139,-29.5648,-0.027,-31.5981,,,,,,,,,,-0.291,-30.9002,0.25,-33.0676,,,,,,,,,,,,0.321,-34.5207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.131,-20.0291,0.2,-28.4177,,,,,,,,,,,,-0.02,-27.3554,0.144,-29.1542,,,,,,,,,,-0.289,-28.5985,-0.243,-30.5316,,,,,,,,,,,,-0.048,-31.907,,,,,,,,,,,,-0.292,-33.3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.26,-27.9733,,,,,,,,,,,,0.046,-27.1296,0.197,-28.9935,,,,,,,,,,-0.267,-28.4538,0.137,-30.4226,,,,,,,,,,,,0.089,-31.7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.035,-27.7047,,,,,,,,,,,,0.185,-26.9808,-0.27,-27.6805,,,,,,,,,,0.323,-28.3194,0.091,-29.1422,,,,,,,,,,,,-0.059,-30.5446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,-0.09,-27.5234,,,,,,,,,,,,0.094,-26.6931,0.118,-27.4901,,,,,,,,,,0.286,-28.0153,-0.097,-28.6733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
