Rank,Composition,Ga_count,In_count,Sn_count,Zn_count,Ga_pct,In_pct,Sn_pct,Zn_pct,Energy_eV_atom,Calibrated_Display_kJ_mol,N_components,Category,Optimal_Window,ElementRef_Hf_kJ_mol
1,Ga5Sn3 GLOBAL-MIN,5,0,3,0,62.5,0.0,37.5,0.0,-5.169472,-78.487814,2,Ga-Sn binary,YES,-35.785053
2,Ga6Sn2,6,0,2,0,75.0,0.0,25.0,0.0,-5.16902,-78.444279,2,Ga-Sn binary,YES,-38.508737
4,Ga7Sn,7,0,1,0,87.5,0.0,12.5,0.0,-5.165748,-78.128499,2,Ga-Sn binary,YES,-40.960334
6,Ga8 Pt3Ga-baseline,8,0,0,0,100.0,0.0,0.0,0.0,-5.162195,-77.785683,1,Pure Pt3Ga,YES,-43.384818
10,Ga5InSn2,5,1,2,0,62.5,12.5,25.0,0.0,-5.126488,-74.340503,3,Ga-In-Sn ternary,YES,-35.49745
12,Ga6InSn MODEL-SELECTED,6,1,1,0,75.0,12.5,12.5,0.0,-5.124921,-74.189375,3,Ga-In-Sn ternary,YES,-38.113553
15,Ga7In,7,1,0,0,87.5,12.5,0.0,0.0,-5.121283,-73.838354,2,Ga-In binary,YES,-40.529836
20,Ga5Sn2Zn,5,0,2,1,62.5,0.0,25.0,12.5,-5.098153,-71.606655,3,Contains Zn,NO,-37.12299
23,Ga6SnZn,6,0,1,1,75.0,0.0,12.5,12.5,-5.09312,-71.121069,3,Contains Zn,NO,-39.404676
24,Ga7Zn,7,0,0,1,87.5,0.0,0.0,12.5,-5.089427,-70.764705,2,Contains Zn,NO,-41.815652
28,Ga5In2Sn,5,2,1,0,62.5,25.0,12.5,0.0,-5.08349,-70.191856,3,Ga-In-Sn ternary,NO,-35.208495
31,Ga6In2,6,2,0,0,75.0,25.0,0.0,0.0,-5.080585,-69.911557,2,Ga-In binary,NO,-37.695502
37,Ga5InSnZn,5,1,1,1,62.5,12.5,12.5,12.5,-5.05353,-67.301135,4,Quaternary,NO,-36.677247
39,Ga6InZn,6,1,0,1,75.0,12.5,0.0,12.5,-5.048793,-66.844161,3,Contains Zn,NO,-38.987493
44,Ga5In3,5,3,0,0,62.5,37.5,0.0,0.0,-5.03971,-65.967772,2,Ga-In binary,NO,-34.844089
51,Ga5SnZn2,5,0,1,2,62.5,0.0,12.5,25.0,-5.02037,-64.101757,3,Contains Zn,NO,-37.837247
52,Ga6Zn2,6,0,0,2,75.0,0.0,0.0,25.0,-5.0171,-63.786273,2,Contains Zn,NO,-40.289036
58,Ga5In2Zn,5,2,0,1,62.5,25.0,0.0,12.5,-5.008417,-62.948501,3,Contains Zn,NO,-36.184227
69,Ga5InZn2,5,1,0,2,62.5,12.5,0.0,25.0,-4.975723,-59.794014,3,Contains Zn,NO,-37.389189
87,Ga5Zn3,5,0,0,3,62.5,0.0,0.0,37.5,-4.94399,-56.732213,2,Contains Zn,NO,-38.686873
