Type,Config_ID,Seed,Energy_eV_atom
Ordered_L12,0,N/A,-4.945260996
Disordered_Random,1,100,-4.784300631
Disordered_Random,2,101,-4.794270666
Disordered_Random,3,102,-4.775599787
Disordered_Random,4,103,-4.731397496
Disordered_Random,5,104,-4.793541370
Disordered_Random,6,105,-4.792363658
Disordered_Random,7,106,-4.789536062
Disordered_Random,8,107,-4.718488047
Disordered_Random,9,108,-4.786159686
Disordered_Random,10,109,-4.818996834
Disordered_Random,11,110,-4.799083092
Disordered_Random,12,111,-4.785515770
Disordered_Random,13,112,-4.787233786
Disordered_Random,14,113,-4.770675325
Disordered_Random,15,114,-4.789262559
Disordered_Random,16,115,-4.783297434
Disordered_Random,17,116,-4.790673645
Disordered_Random,18,117,-4.768925292
Disordered_Random,19,118,-4.786541523
Disordered_Random,20,119,-4.754574528
Disordered_Random,21,120,-4.841022061
Disordered_Random,22,121,-4.776985937
Disordered_Random,23,122,-4.773934507
Disordered_Random,24,123,-4.782255178
Disordered_Random,25,124,-4.763375243
Disordered_Random,26,125,-4.780410243
Disordered_Random,27,126,-4.786924874
Disordered_Random,28,127,-4.751528630
Disordered_Random,29,128,-4.754759377
Disordered_Random,30,129,-4.757778873
