Host,Formula,MP_ID,Binary_N_sites,c_host,Size_Pass,Miedema_dH_kJ_mol_atom,Miedema_abs_dH_kJ_mol_atom,MP_DFT_Hf_kJ_mol_atom,MP_DFT_abs_Hf_kJ_mol_atom,MP_DFT_EAboveHull_eV_atom,UMA_Alloy_E_eV_atom,UMA_ElementRef_E_eV_atom,UMA_Hf_kJ_mol_atom,UMA_abs_Hf_kJ_mol_atom,CHGNet_Hf_kJ_mol_atom,CHGNet_abs_Hf_kJ_mol_atom,Miedema_Rank,MP_DFT_Rank,UMA_Rank,CHGNet_Rank,Consensus_Rank_Mean
Rh,GaRh,mp-2444,2,0.500000,True,-23.725600,23.725600,-65.605900,65.605900,0.000000,-5.277436,-4.575970,-67.681000,67.681000,-65.835400,65.835400,4,3,1,2,2.000000
La,LaGa2,mp-19839,3,0.333333,False,-13.773100,13.773100,-79.698600,79.698600,0.000000,-3.552382,-2.991445,-54.122000,54.122000,-69.040000,69.040000,11,1,5,1,2.330000
Pd,GaPd,mp-1078526,8,0.500000,True,-25.631000,25.631000,-63.935600,63.935600,0.000000,-4.244722,-3.570246,-65.076800,65.076800,-59.845900,59.845900,3,4,2,5,3.670000
Y,YGa2,mp-1914,3,0.333333,False,-10.114400,10.114400,-62.672800,62.672800,0.000000,-4.348754,-3.722495,-60.424600,60.424600,-64.517000,64.517000,13,5,4,3,4.000000
Ce,CeGa2,mp-2209,3,0.333333,False,-13.787000,13.787000,-69.831200,69.831200,0.000000,-3.954527,-3.476543,-46.118200,46.118200,-60.961200,60.961200,10,2,7,4,4.330000
Pt,GaPt,mp-1025551,8,0.500000,True,-33.762700,33.762700,-60.784400,60.784400,0.000000,-4.652441,-3.985693,-64.331100,64.331100,-59.828300,59.828300,1,6,3,6,5.000000
Ir,Ga5Ir3,mp-1212680,32,0.375000,True,-27.664100,27.664100,-51.769600,51.769600,0.000000,-5.146755,-4.649420,-47.985300,47.985300,-44.498900,44.498900,2,7,6,7,6.670000
Ru,Ga2Ru,mp-1072429,6,0.333333,True,-21.059600,21.059600,-42.798900,42.798900,0.000000,-4.959613,-4.551224,-39.403500,39.403500,-38.408500,38.408500,5,8,9,8,8.330000
Ni,Ga3Ni2,mp-11397,5,0.400000,True,-16.283600,16.283600,-40.889000,40.889000,0.000000,-3.914826,-3.467569,-43.153600,43.153600,-36.290800,36.290800,8,9,8,9,8.670000
Fe,Ga3Fe,mp-636368,16,0.250000,True,-7.204100,7.204100,-22.987300,22.987300,0.000000,-4.076908,-3.683095,-37.997000,37.997000,-19.567900,19.567900,14,11,10,11,10.670000
Co,Ga3Co,mp-20559,16,0.250000,True,-10.500800,10.500800,-19.361000,19.361000,0.000000,-3.789913,-3.466932,-31.162800,31.162800,-25.337500,25.337500,12,13,11,10,11.330000
Os,Ga3Os,mp-570844,16,0.250000,True,-17.706200,17.706200,-30.324000,30.324000,0.000000,-4.852304,-4.543300,-29.814200,29.814200,-17.265700,17.265700,7,10,12,13,11.670000
Au,Ga2Au,mp-2776,3,0.333333,True,-13.788100,13.788100,-22.493400,22.493400,0.000000,-2.836332,-2.567698,-25.919200,25.919200,-19.079700,19.079700,9,12,13,12,12.330000
Cu,Ga4Cu9,mp-1197621,52,0.692308,True,-1.462200,1.462200,-11.564500,11.564500,0.000000,-3.133584,-3.014820,-11.458900,11.458900,-9.466600,9.466600,15,14,15,14,14.330000
Re,Ga3Re,mp-1188393,16,0.250000,True,-17.715300,17.715300,-10.682000,10.682000,0.038573,-4.969698,-4.846713,-11.866200,11.866200,-7.409100,7.409100,6,15,14,15,14.670000
